"","cond","SID","value","article_number"
"98","social","s133","We just don't understand how serious the consequences of climate change will be.",99
"99","social","s134","The last part of the article about reducing your carbon footprint would be relevant to the people I know so they can do their part to lessen climate change.",51
"100","social","s136","This article matters to people I know because preservation of wilderness land is important environmental protection for this generation and for those to come.",19
"101","social","s137","Global warming is becoming a more realistic threat to  ancient places that need to be preserve, seems there is little that can be done, if we dont work collectively to fight global warming and the need to save these heritage sites.",85
"102","social","s139","It is important to know that hearing loss could lead to a greater risk of injuries.",90
"103","social","s140","How removing sugar from the diet can improve your health",94
"104","self","s141","Weight loss suplements",10
"105","self","s143","In 13 minutes we can build weight training.",48
"106","self","s145","I'm someone who would like to see a greater switch to renewable and carbon-neutral energy sources.",93
"107","self","s146","This article is following the progress on scientific understanding of obesity.",108
"108","self","s147","It matters to me because it is important for myself and the rest of us to maintain a healthy body, in order to live a fit and fulfilling life.",18
"109","self","s149","Carbon Senator Chick Schumer get vouchers.",73
"110","social","s150","It's about the important outcomes of a tech conference in San Francisco.",81
"111","self","s151","All exercise stimulates the brain. It's the best therapy in the world",14
"112","social","s153","Protein from plants may be better for your  health as shown in Japanese people.",64
"113","self","s155","This is important to me because I want to live a long healthy life.",64
"114","social","s156","Because the people I know would want to do all they can for their baby's health and they would want to pass the message on to their family members that are pregnant even if they are not themselves.",60
"115","self","s157","exercise can keep aging muscles and immune systems.",18
"116","social","s159","PUBLIC COMMENTS MATTER IN FEDERAL RULE MAKING",29
"117","self","s160","this article is about how the country leader fail to help improve climate change",41
"118","self","s161","ARTICLE ABOUT THE CHILDREN'S FOOD HABITS AND HOW TO BREAK OUT OF CHILDREN'S MENU TRAPS THIS MATTERS ME PERSONALLY BECAUSE OF MY CHILD ALSO HAVEING THIS PROBLEM",2
"119","social","s163","Regulators have cleared the way for work to begin in a disputed mine in Australia.",21
"120","social","s166","The article matters to people I know because even though they are exercising, they aren't losing weight. This article can help explain why and show them what they are doing to cause it.",78
"121","self","s167","Obesity, high triglycerides, high blood pressure, and diabetes may increase the risk of developing Parkinson's disease.",82
"122","self","s168","This article is about using AI to predict, treat, and prevent cancer.",104
"123","social","s170","this is about invasive grasses may worsen wildfires",63
"124","self","s172","The benefits of fish in the diet of kids and pregnant women.",30
"125","social","s177","Some people I know are vegetarian or vegan so it may be relevant to them and their health or diet",26
"126","self","s178","I don't know why anybody's still arguing about whether climate change is real or not.  By the time some people figure out that it is real, it may be too late and that's bad news for all of us.",87
"127","self","s184","People need to be informed accurately so that they will be encouraged to take action.",95
"128","social","s185","This article matters to the people I know because this affects climate change.  Everyone I know is concerned about climate change.",43
"129","self","s186","Nuclear power has historically been opposed by many environmentalist organisations, some support it, as do some scientists.I think we use it in right way.",51
"130","self","s187","Finding that a gut bacteria makes mice run faster is interesting to me and I would be curious to learn if this same effect is found in humans. It matters to me, because it is fascinating to learn new things about the body.",72
"131","social","s189","Plants high in flavenoids might help prevent certain diseases.",22
"132","social","s191","useful for automakers",71
"133","self","s192","This matters to me personally because I am female and I eat some processed meats.",52
"134","self","s193","For climate change the people can give more importance and had a demand for it",109
"135","self","s194","I care about energy conservation so the fact that ti is happening is good.",33
"136","self","s195","I don't like cooking tomatoes, but I like spinach so it might matter somewhat.",42
"137","self","s196","It matters to me cause it teaches me how to treat myself and my dog better.",38
"138","social","s197","Aspiring young girl , I definitely share this to my family and friends",65
"139","self","s198","This article is very very useful to my society and peoples.",89
"140","self","s200","Because recycling affects the environment .",49
"141","social","s201","Dreaming about the days when lab grown meat is affordable for the average consumer and factory farming is a thing of the past!",81
"142","self","s202","Nuclear power is the biggest power in the world",51
"143","social","s204","I know some environmentalists who would be pleased to hear this news.",19
"144","social","s205","This is interesting...who even considered that exercising makes us want to eat more?!",78
"145","social","s206","Green Energy provider is the must useful for current situation.",83
"146","self","s207","Author creates a new guide for children to eat healthier.",2
"147","self","s208","reduce the uses of plastic",55
"148","social","s210","Saving money on fast food.",70
"149","self","s211","This article is relevant to me because it shows that people are always seeking out changes to routines and looking for something that challenges them. I too grow weary of too much routine.",62
"150","self","s212","Cleaner air using less deodarant",107
"151","social","s214","do we want coal to be used for several more decades?",43
"152","social","s215","This outlines a pretty easy way to drop some pounds!",94
"153","social","s216","It is about how being in good shape is good for you.",16
"154","self","s217","Things like perfumes, pesticides and pant can be as bad as cars as far as pollution.",107
"155","social","s218","It was about the climate changes",59
"156","self","s219","It is about weight loss being attributed to diet quality rather than quantity.",8
"157","social","s222","In most restaurants in America, the children’s menu is where you’ll find the least nutritious foods: Chicken nuggets, grilled cheese, pizza and French fries are the standard “kid friendly” offerings",2
"158","self","s223","This article is about how different government and related parties and working together to revise the Endangered Species Act.",89
"159","self","s224","The government is screwing me again by carrying the water for big corporations.",89
"160","social","s227","protesting climate change, young people take to streets in a global strike",27
"161","self","s230","Have a New Years resolution and consume less than you need. The Democrats are also addressing climate change and the government shutdown. I try to consume less. If I don't need as much veggies, I will buy less so it doesn't spoil. As for climate change and the shutdown, they will resolve themselves through our representatives we send to Congress. I vote for my Representatives and they do the work.",31
"162","self","s234","Perhaps this will help people pay attention to the dangers of climate change.",85
"163","social","s235","Performance subject to minerals is new Takes the essential oil wheels
",88
"164","social","s236","This article is about how exercise positively impacts the body, particularly, the muscles and immune system.",18
"165","self","s237","CHALLENGING RACE WAS INCREASING",62
"166","self","s242","It can help to shed light on whether this issue can be fixed with assistance from your partner.",96
"167","self","s243","Risk, no benefits to going gluten free",66
"168","social","s246","This article is about your immune system and lifestyle and how those affect you're likelihood to get flus and colds.",100
"169","self","s248","This article claims impacts of global warming  in rain and flood. Because some people believe global warming causes  heavy rain and cyclones",15
"170","social","s249","You need to check your hearing to be safe",90
"171","self","s250","This article matters to me personally because my close friend who is died due to this diet.",66
"172","social","s251","This article is about the key to weight loss being diet quality not quantity people who cut back on certain foods lost weight without worrying about portion size.",8
"173","social","s255","Demonstrating a correlation between eating highly processed meats and developing breast cancer.",52
"174","social","s257","article is about babies who eat solid food at 3 months may lead to sounder sleep",44
"175","self","s258","Important of exercise for children's.",12
"176","social","s259","This article explains the heat wave and its month and the government actions",91
"177","self","s260","Understanding if paper is better than plastic will help in making decisions about helping the environment.",57
"178","social","s261","My wife gets kidney stones, so this is useful for her",46
"179","self","s262","What an awesome idea that every company should follow.",55
"180","social","s265","Healthful meal options and ideas for our children minus chicken fingers, fries, hamburgers and the like.",2
"181","self","s268","That I know that using fruits and vitamins will not help my soreness after a work out",40
"182","social","s270","People should know the bad effects of gaining weights. so everyone should do exercise well",54
"183","self","s273","how eating sugar can cause you to have diabetes",4
"184","social","s274","This article about the break out of the children's menu trap",2
"185","social","s275","I know a lot of my friends live in areas proned to flooding.",53
"186","self","s276","It was about the global warming was gives a dangerous rains and floods.",15
"187","self","s277","poor hearing affects our lifer",90
"188","self","s278","I recommend this article if you are curious about the positives and negatives of plastic and paper bags. It goes in depth about the two options and may help you decide between them.",57
"189","social","s279","This article is about the Toxic Tide.",39
"190","self","s280","Its about getting rid of single use plastic and replacing it with reusable stuff.",55
"191","self","s281","Negative changes to the environment and the economy could have a negative effect on my overall quality of life going forward.",9
"192","social","s283","a conservative coalition that champions coal won an Australian election",21
"193","self","s287","The article is about having a better nights sleep when sleeping with their dog in the bedroom.",38
"194","self","s288","Chef Colicchio recommends just-in-time daily produce shopping from Farmer's Markets.",20
"195","social","s292","Our digestive system and weight management might be helped by taking a pill made from bacteria in the gut.",74
"196","social","s294","Gut bacterium could cure metabolic disorders especially people with obesity",74
"197","social","s295","About the rise of sleep apnea",106
"198","self","s297","Eating foods with high flavonoid content helps people lower their risk for cancer.",22
"199","social","s299","Americans still build homes in flood zones despite the awareness of climate change.",23
"200","social","s300","studies finds that obesity affects ones health .so ,it is advised to stay fit.",54
"201","self","s301","It is important for us to recycle in order to protect the environment.",67
"202","social","s303","there will been a small explosion of global warming ads",95
"203","self","s305","Solar power is still a small portion of total electricity",93
"204","social","s307","exercise and good diet go hand in hand",6
"205","self","s308","It helps me to live in a safe world.",51
"206","self","s311","This article is about what happens to nutrients in tomatoes and spinach when these foods are cooked.",42
"207","self","s313","Some large companies say that ""climate change"" could harm their future bottom lines.",87
"208","self","s314","This article goes in-depth to describe catastrophic floods, the potential link between climate change and flood frequency, and how to protect oneself in the event of a flood.",25
"209","social","s316","A recent study has found that a probiotic may help fight obesity in people with metabolic issues.",74
"210","self","s318","Pollution=Bad. We all need air.",107
"211","self","s319","This article is very helpful",74
"212","self","s320","Recycling is very useful for lot of peoples",49
"213","self","s321","Because I am an activists",83
"214","social","s322","This article is about how weight and cancer rates relate to each other.",54
"215","self","s324","The great garbage patch of the Pacific is growing.",79
"216","social","s326","I always prefer to read the daily news and tips. This article is between climate scientists and climate negotiators meeting then reduce holiday food waste totally this topic is somewhat irrelevant.",11
"217","social","s327","climate control target not achieved so far",41
"218","social","s328","This article is about how both plastic and paper bags are not great for the environment.",57
"219","social","s329","This article matters to people I know because eve",0
"220","self","s330","I'm so happy to see young people are concerned with climate change and quite literally the future of life on our planet. I certainly hope they go into politics.",27
"221","self","s331","Supplements fulfill the nutrition and helps for the body.",74
"222","social","s335","making known to people that carbon taxes, renewable energy and climate bipartisanship were all on the ballot in various forms",75
"223","self","s337","A cancer researcher discusses his new company which aims to treat multiple myeloma using an crowdsourced, individualized approach. His perspective includes being both a researcher and cancer patient himself.",24
"224","social","s338","A Vaquita porpoise has died in a rescue mission. It's one of the rarest marine mammals in the world with less than 30 remaining.",101
"225","social","s344","This a move that would help us and our environment. Their is a possibility this is better than our previous experiences.",61
"226","self","s345","Climate change could cost many large companies to lose a lot of money.",87
"227","social","s348","This sense of hearing is very important and I don't think we realize just how much we need it",90
"228","social","s349","Comparing downsides of paper and plastic bags.",57
"229","social","s352","This article describes the uses of an product which monitors the heart",58
"230","social","s353","This article is about climate plan and electric cars.",73
"231","self","s358","It was terrible and made me worried",7
"232","self","s360","It was the problem which was our future should be a question mark. Arctic was the whole snow area. If its melts too fast the whole world faces a serious issue. It makes the world to fear.",35
"233","social","s361","Foods that are rich in flavonoids may help to lower the risk of cancer and cardiovascular-related causes of death.",22
"234","social","s363","It matters to people I know, because they have kids and they want them to be healthy.
It's about a new book with hints about healthy eating habits for kids.",2
"235","social","s364","People I know are environment friendly and they want to know about eco cars.",103
"236","self","s368","I really need the information from this article because i have friends that consumes sugary drinks and i feel they need to read this.",4
"237","self","s371","Lawmakers finally passed a bill they have long been working on which protects lots of wilderness lands.",19
"238","social","s372","Some foods such as tomatoes and spinach could potentially gain more nutrition if you cook them, but some foods may not experience this.",42
"239","self","s373","Wild fire is growing across of the globe and changing climates.",7
"240","self","s375","It would be a compelling challenge to a Zoologist's differing perspective and opinion about Polar Bear Habitat. Compelling because it would be Many vs One. A Challenge since the Scientists would cite other Researchers, Papers, etc...",77
"241","social","s380","This is bad for anyone who inhabits planet Earth.",29
"242","social","s386","people would be interested in this ad because obesity can cause death",108
"243","self","s387","low impact sports can cause bone damage",98
"244","social","s390","environment production and permanently reauthorizes a federal program",19
"245","self","s394","very interesting and more important to the life",17
"246","social","s395","This article is about the companies see climate change hitting their bottom lines in next five years.",87
"247","social","s396","Planet to its hottest June with heat wave.",91
"248","social","s399","As people age, we tend to run and do other activities a bit less, but maybe not as much as we think.",76
"249","social","s400","It can give awareness to people who are at risk of obesity.",82
"250","self","s401","Pharaohs from ancient dynasty tried to adapt with the Drought and failed to adapt",37
"251","self","s402","Bad to hear , but we can't stop the nature here",39
"252","social","s403","sleep apnea can be worse than most think",106
"253","social","s406","The article talks about the relationship between access weight and where the highest rates in the country were.",54
"254","self","s411","it is used to childrens and it is increase n children's health and protein level",2
"255","self","s412","the marine mammals was important so save the marine mammals",101
"256","self","s414","The article is about how exercise can prevent dementia.",34
"257","self","s415","always natural foods are good for health",68
"258","self","s418","This article is about S.U.V. being popular and that is bad for the enviroment.",103
"259","self","s419","exercise is important and seeing the potential negatives of certain types is informational",98
"260","social","s420","On my opinion it will controlled by 2050 with at most 50% of emission by 28 eastern country.",41
"261","self","s421","The Kincade fire was devastating to California, it destroyed over 10,000 acres and has left the land charred.",17
"262","self","s422","Nutrient levels of tomatoes and spinach may change during the cooking process.",42
"263","social","s423","Sugar consumption causes problems in many areas of your body.",4
"264","self","s425","Environmental changes due to global warming include more dangerous weather.",15
"265","self","s432","This is important to me because I want to protect myself from gaining weight and the supplements seem very helpful to the gut.",74
"266","self","s434","this article is about cancer researcher takes cancer personally.",24
"267","social","s435","It is a statement to contradict the popular belief about the extinction and poor condition around polar bears.",77
"268","social","s436","The anti obesity effect of probiotic supplements.",74
"269","self","s437","i will take a homely natural medicine like tulasi,pepper ,ginger drinks should control cold",100
"270","self","s439","A.I. has many beneficial aspects, but being able to foresee and chronicle breast cancer in patients is truly wonderful, and extremely hopeful.",104
"271","social","s442","I had heard about this disaster. It increase the sea water level.",45
"272","self","s444","This article is about fuel efficient",29
"273","self","s445","big climate change causes rain",11
"274","self","s446","Climate change will cause certain areas to be under water in the future.",59
"275","social","s448","A historical account of efforts to control climate change matter very much to people like me. We are faced with serious problems of climate change, and history can be a great source of information.",37
"276","self","s449","Climate change is a major problem in the world and I have concerns about climate change.",87
"277","self","s450","I live in an area close to flood prone zones so this is relevant to me
",25
"278","social","s453","this article is about environmental",51
"279","social","s454","A lot if people already know this.",8
"280","self","s456","Role of electric cars in climate change",73
"281","self","s457","I think this is interesting and I could relate it to my life. I do notice that when I walk with just my dog I walk a lot faster than when we take my husband with us.",36
"282","social","s460","This article matters to people I know because they are looking for effective and healthy ways to lose weight and improve overall health.",0
"283","social","s462","S.U.V. purchases are on the rise, and what that means for the climate.",103
"284","social","s463","this article too will raise awareness about climate change and its impacts",53
"285","social","s466","Side effects from diet pills could kill and I don't want my family getting hurt",10
"286","social","s467","The Climate change may affect the automakers. for that reason they shift gears on climate change.",71
"287","social","s470","it is able climate change and how it is affecting glaciers",45
"288","self","s471","This article matters to me because I believe in climate change. We know that if the US does something about climate change that's only a portion of our world. Other countries have to stop up also and this article tells of the resistance of other countries.",41
"289","social","s473","plastic is taking the world space",67
"290","self","s475","We could not slow down as much when we get older",76
"291","self","s478","This article helps us to understand how to manage our health and reduce the likely to have a heart attack",84
"292","social","s479","gluten free is not for all people as some people pose risk for it",66
"293","self","s481","Possibly the people in these meetings will help with climate change and make it easier for me to live in this world.",11
"294","self","s482","Cooking tomatoes and spinach increases some naturally present nutrients, but levels of other nutrients decrease after cooking.",42
"295","self","s483","This isn't going away. Today it's four continents, tomorrow all 7. Then every town, every home. We need to slow this down",97
"296","social","s485","How one rich person kept the coal industry going for 3 countries",43
"297","self","s487","Article is about fitness and exercise",56
"298","social","s488","i have close people that went through cancer and this kind of news is very important",24
"299","self","s490","Climate change is a major problem",41
"300","social","s492","Having a forecast for where fires may start or how destructive they could be would be important for everyone that's living in an area that has been or is starting to suffer from drought.  It would help weigh the risks of choosing where to live and getting the right home insurance if you live in a fire zone.",17
"301","self","s493","Working out and being healthy is better then smoking",16
"302","social","s494","This article about the message climate change effective to the people",97
"303","social","s495","This matter to al people i know who are parents because its important for kids to have good nutrition but most kid menus are the exact opposite",2
"304","self","s496","maybe not so good for health",28
"305","social","s497","This article matters to people I know because we are all aging now.",76
"306","social","s498","Plaque in the arteries tends to be caused by stress, smoking, obesity and a sedentary lifestyle.  It shouldn't be surprising to see that the opposite is true -- quitting smoking, managing your stress, exercising more and eating better can thus reduce that plaque and reduce your risk of a heart attack.",84
"307","self","s499","chefs advice good for all don't waste food ,make a farming awareness to all people",20
"308","social","s502","It matters to people I know because it can help them achieve their fitness goals. The article is relevant and interesting.",8
"309","self","s504","This article is about choosing plastic bags or paper bags at the grocery store and what the impacts of each choice may be for you and the world you live in.",57
"310","social","s505","My friends with babies might find this article useful.",44
"311","social","s506","Obesity has negative effects on cardiovascular health and can shorten your life by a few years.",108
"312","self","s507","i think this would only help certain companies get lots of money",73
"313","self","s512","I think climate change is something we need to deal with now",53
"314","social","s513","Many people I know are concerned about the ocean and our environment and what should be done to help the situation",79
"315","self","s514","I need this info, a quick workout that actually works is a great thing!",48
"316","self","s515","Girl's take a sacrifice for all human on earth.",65
"317","social","s516","it is about research so people need to know this sugary drink ban and it's effect",94
"318","social","s517","The Article is about climate investigation",3
"319","self","s520","This article is about people who heart risks such as obesity, high cholesterol, high blood pressure and high glucose readings have increase risk in developing Parkinson's disease.",82
"320","self","s522","Antioxidants do not help with post exercise recovery aches.",40
"321","self","s526","Blooms are un safe for the wildlife in Florida",39
"322","self","s527","Consuming less is beneficial for earth conservatism",31
"323","social","s529","Five Takeaways from the recent elections can reveal current attitudes about climate change.",75
"324","self","s530","CLIMATE CHANGE LEADS TO DISASTER",53
"325","social","s531","How processed meats increase breast cancer in women",52
"326","self","s532","All of our resources are very important to conserve for the well being of all the generations to come",31
"327","social","s533","grass not natural to the environment could be making wildfires more frequent",63
"328","self","s535","This article matters to me because we must do whatever it takes to combat climate change before it's too late.",105
"329","self","s537","Eating fish helps stimulate the brain.",30
"330","self","s538","In various forms CBD is readily available to people, but the benefits have not yet been scientifically verified.",88
"331","social","s540","This article has to do with ways to help the environment, and details on climate change from scientists.",11
"332","social","s541","China has stopped recycling for foreign countries and landfills are being filled up with garbage in America.",49
"333","self","s543","We must protect our planet and the wildlife that live in it.",39
"334","self","s544","It is about the Vaquita porpoises",101
"335","social","s545","Parents have an impact on what their children do, if they are willing to make the effort.",92
"336","social","s546","Some of my family members have bad cholesterol due to their diet and genetics.",50
"337","social","s547","This article is about the different ways people walk and how fast or slow they generally do so.",36
"338","social","s548","Peoples are know the scientifice experiments.",88
"339","social","s551","i think we will need to be very caution wit our 5 years next",87
"340","social","s552","The article is about climate change and how young people are starting to get in on the action to do something about it.",27
"341","social","s553","The US economy depends on climate change action!",9
"342","social","s554","It is a story about a billionaire in a mining project in australia.",43
"343","self","s555","intake of sugary may cause shorter life span",32
"344","social","s558","Drinking sugary drinks is bad for your health.",4
"345","social","s559","it is about hearing problems",90
"346","self","s561","Even vegetables can give someone gout.",26
"347","social","s563","Despite the research showing red meat and white meat being equal where bad cholesterol is concerned, there are still reasons to reduce red meat consumption for women.  Our family likes to eat red meat and it might be a contributing factor in breast cancer.",52
"348","social","s567","Fewer people are buying flood insurance",53
"349","self","s568","It helps in taking care of our children and their happiness and growth.",86
"350","social","s570","This article is about how to force your children to eat healthy.",2
"351","social","s571","Getting gout is an awful thing for anyone and having to change your diet to stop eating all of the healthy stuff you like is a real bummer, especially as a vegan when you're much more limited in what you can eat.",26
"352","self","s572","With our world changing so quickly, it's important to put a focus on climate change. This article gives me a small sense of relief that the topic is being discussed, especially by automakers. They have one of the biggest industries that impact our climate and the fact they are trying to do something is positive in my opinion. This matters to me because it will effect my everyday life, those around me, and the generations to come.",71
"353","social","s574","This article is relevant to people I know because they are of Aging population and they need to understand exercising is important for longevity.",16
"354","social","s575","Runners are entering races that are above their abilities in order to challenge themselves and do something new.",62
"355","self","s576","I use deodorant daily. I don't want to smell bad but I do want cleaner air.",107
"356","self","s577","Obesity is shown to cut life span by two to three years and an increase in cardiovascular disease.",108
"357","social","s578","Being healthy and in shape helps endurance and can lead to living to an old age.",16
"358","social","s581","People will be aware of wasting foods.",20
"359","social","s582","Many people I love are middle aged and I believe this can help keep them healthy!",34
"360","self","s583","it seems like American's are getting lazy by days and meanwhile it saves some energy sarcastically",33
"361","self","s584","Treating eating disorders can be much easier if you have someone to help you through it.",96
"362","self","s587","There's many pieces to the puzzle",6
"363","self","s588","This is important to me because I am concerned about trash and waste in our environment.",79
"364","self","s589","obesity is on the increase and people are dying from the side effects of it.",106
"365","social","s592","Some people think until scientists have tested it, it can't possibly be effective. The use of the term snake oil is pejorative.",88
"366","social","s593","To save the earth from the climate change, we need to avoid the more carbon emitting vehicle. Instead of this we can alternatively use the electric cars.",73
"367","social","s594","The article is about the intensity of the cancer and the treatment methods.",24
"368","self","s595","It educates me on how to raise my children",44
"369","social","s598","This article is about how important ancient places in the Mediterranean may be destroyed by global warming.",85
"370","social","s599","WEIGHT LOSS IS AVOID BAKED FOODS. DONT TAKE HIGH RISK IN DIET EAT HEALTHY FOODS AND SLEEP WELL",10
"371","self","s600","It is about upcoming disasters of climate change",99
"372","social","s602","most people I know admire Greta for her fiery attitude and determination",65
"373","social","s606","This articles about to save the energy of americans.",33
"374","self","s608","federal groups caution others for looming impacts of climate change on environment and economy",9
"375","social","s610","Automobile emissions in atmosphere matters to the society",29
"376","social","s613","The article is about different causes of large floods.",25
"377","self","s615","statics of people who walks through street",36
"378","self","s616","Dancing may be best for the brain.",14
"379","social","s618","Election and climate change, how candidates views' are.",75
"380","self","s619","Cleaner Air pollution",107
"381","self","s620","If we don't make big shifts in our society the risks of climate change grow significantly and threaten much",87
"382","self","s621","Its important to me to make decisions that benefit the environment.",55
"383","self","s622","the article is all about how level of nutrients may go up with cooking.",42
