"","cond","SID","value","article_number"
"114","social","s156","Because when fires spread people have to leave their homes to get out of harm's way. Sometimes, that is just a major inconvenience but sometimes they come back to find their home and all of their belongings are gone. If invasive grasses worsen fires then we need to know this and do something about it.",63
"115","self","s157","The article about say some matters.",19
"116","social","s159","PROTECT PLANTS AND SAVE HEALTH",22
"117","self","s160","this article is about questioning whether the cities are recycling or not",49
"118","self","s161","ARTICLE MATTERS TO ME PERSONALLY BECAUSE OF THE POSSIBLE WEIGHT LOSS STRATEGY THAT TO SKIP BREAKFAST BEFORE EXERCISE",0
"119","social","s163","Good advice from Tom Colicchio to buy the produce you need when you need it and not earlier.",20
"120","social","s166","This article matters to people I know because Climate Change is real and affects people in their daily lives. It will be interesting to read about how automakers plan to change to keep up with demand for ""cleaner and greener"" autos.",71
"121","self","s167","The article is about cholesterol medication increasing the risk of skin infections.",80
"122","self","s168","This is an article about genetically modified organisms.",102
"123","social","s170","this article will motivate some of my athletic frieds",62
"124","self","s172","I really feel like we waste too much and consuming less helps the environment.",31
"125","social","s177","People I know care about their health.",28
"126","self","s178","I've been to some of these places and it would be a shame to lose them.  They are global treasures.",85
"127","self","s184","Because health is important as I age.",98
"128","social","s185","Disposable cleaning products",47
"129","self","s186","It is very important news to me.My uncle having an obesity.He tried very hard to loss his weight.",54
"130","self","s187","This article is about a person who found ways to stretch money after moving from a wealthy lifestyle in Korea to living in poverty in California.",70
"131","social","s189","It would be nice if young people would use their energy to vote.",27
"132","social","s191","It's about human's used plastic things",79
"133","self","s192","This article is about reducing your use of disposable plastic items.",55
"134","self","s193","This one is related to know the persons who suffer from cancer and give a treatment.",104
"135","self","s194","It is interesting to see how men and women differe",36
"136","self","s195","Cleanliness is healthy and helpful.",47
"137","self","s196","The article matters to me because it discusses the important issue of Climate Change that affects everyone",35
"138","social","s197","Exploration in Artic wildlife may harm the wildlife i animals i guess , so people i know will oppose it",61
"139","self","s198","This is about the program called BOKS program which is making children feel happier and more energetic before the class.",86
"140","self","s200","The article is about weight reduction program with in short period of time.",48
"141","social","s201","We worry a lot about the future when it comes to climate change but this means we could lose our past even sooner!",85
"142","self","s202","Plastic bags is unhealthy so we go with papers in the grocery shop",57
"143","social","s204","I know a lot of old people who would probably be interested in cycling.",18
"144","social","s205","Everyone has a grandmother and can relate to their grandparents' ways.",70
"145","social","s206","It is very must for childerns",86
"146","self","s207","I am at risk for several of these health issues and I choose to control my sweet tooth because of it.",4
"147","self","s208","flood insurance most important for everyone",53
"148","social","s210","What automakers know about climate science.",71
"149","self","s211","This article matters to me because it's a clear indication that our elected leaders are not taking climate change seriously, nor are they taking into consideration what the general public wants. Most people do not want oil or gas exploration in the Arctic National Wildlife Refuge.",61
"150","self","s212","Pictures from youth climate",109
"151","social","s214","dont worry about consuming this after exercising",40
"152","social","s215","As shown elsewhere, this confirms the shifting temperature baseline!",91
"153","social","s216","It is about global warming.",15
"154","self","s217","It appears that obesity might not be that big of a factor in cardiovascular disease after all.",108
"155","social","s218","It was usage of plastics and reusability",55
"156","self","s219","It suggests skipping breakfast before exercise.",0
"157","social","s222","A New Year’s resolution so common, it’s almost a cliché: “This year, I’ll lose weight.” The new year is already running and we start to picture ourselves several pounds lighter and flaunting a svelte figure in a bikini, the kind of figure that will have us rummaging in our closets for those jeans we haven’t worn in years and sliding onto the dance floor eager to show off our moves and confidence.",8
"158","self","s223","This article matters to me personally because I want to stay healthy and vibrant as I age.",84
"159","self","s224","A program helps children with before school activities.",86
"160","social","s227","A place to live is the basic need for every human being",23
"161","self","s230","The article is about sugary drinks and how they have no health benefits. Sugary drinks are bad for me and can complicate my health problems with sugar.",32
"162","self","s234","This gives me hope that the biggest polluters might change their ways.",87
"163","social","s235","Is to improve all forms of assistance subject to action  Their machines beautifully showcase the processes they need considering the development of the staff as well",81
"164","social","s236","This is important! people in california are a risk and because of the increasing of areas affected by drought, the rest of us might be at risk too!",17
"165","self","s237","VITAMIN D WAS IMPORTANT DURING PREGNANCY",60
"166","self","s242","This is important because it helps bring awareness to this most pressing issue.",95
"167","self","s243","Invasive grass species are increasing the risk fo wildfires",63
"168","social","s246","This is about sleep apnea.",106
"169","self","s248","This article instigate me to think about children's health. Because so much of children in US grows without proper immunity level. Exercising will helps to develop children's health and also it reduces stress level.",12
"170","social","s249","Solar is something  we need to be using more of",93
"171","self","s250","The article is about recycling wrong things. We cannot and should not recycle every things. For example some kind of plastics cannot be recycled.",69
"172","social","s251","This might matter for people I know who are overweight or care very much about their current weight.",6
"173","social","s255","It matters to people I know because I live in Florida, which is projected to be underwater at some point in the not so distant future. What that means is, since I live in Florida, everyone else I know lives in Florida.",59
"174","social","s257","glacier collapse   is dangerous ...",45
"175","self","s258","Kincade fire in California",17
"176","social","s259","This article gives one nice message so I was explain this article matters to the people",96
"177","self","s260","Recycling is an important part of environmental control",55
"178","social","s261","Climate change affects us all, and thus, this affects all of us.",41
"179","self","s262","This is why i stay away from most processed meats lately.",52
"180","social","s265","This article might sound an alarm to those who drink soda continually.  Compelling reasons to cut the habit.",4
"181","self","s268","It tells me about how other eastern countries would not agree because of their heavy use of coal",41
"182","social","s270","It would made a better world for us in future",55
"183","self","s273","exercise without dieting might not help you lose weight",6
"184","social","s274","It was good and very interesting",4
"185","social","s275","Being overweight could cause cancer.",54
"186","self","s276","It was about the climate changes in now and they give tips for how to reduce food waste.",11
"187","self","s277","cycling helps to keep our bones healthy",98
"188","self","s278","This is good to know! I am trying to manage my cholesterol levels.",50
"189","social","s279","It have no health benefits so this article matters to people to know",32
"190","self","s280","It matters to me because it shows no matter what you eat you can still have health problems.",50
"191","self","s281","This book will help parents learn how to make sure their kids eat healthy.",2
"192","social","s283","because people want to know as much as possible about cancer",28
"193","self","s287","It's about how different people walk and the pace that they walk in.",36
"194","self","s288","This is ridiculous if true. How is fuel in-efficiency good for the American public?",29
"195","social","s292","A wealthy Korean grandmother and her grandchild save money with McDonald's fast food upon relocating to California.",70
"196","social","s294","This Article is about people not having discipline in their eating habit when they do exercise.",78
"197","social","s295","It's about using AI to prevent breast cancer.",104
"198","self","s297","This would be so hard for me, I love hummus and black beans!",26
"199","social","s299","This article is about floods  and climate changes.",25
"200","social","s300","it will help them reduce the consumption of red meat as this may affect their health",52
"201","self","s301","It is important to protect people and property from the threat of wildfires.",63
"202","social","s303","It's about climate change. So it's important to people",97
"203","self","s305","Hearing loss leads to more accidents.",90
"204","social","s307","because it discourages eating unhealthy food",4
"205","self","s308","I need to exercise more to reduce my weight.",56
"206","self","s311","This article is about a big problem with recycling. A lot of our recycling is ending up in landfills now that China is no longer taking as much of it.",49
"207","self","s313","Possible benefits of a before-school exercise program.",86
"208","self","s314","I believe that climate change is an issue that everyone should work towards solving. Joining a strike demonstrates that many people still care about climate change and demand more than our leaders' inaction on the subject.",27
"209","social","s316","It is about a change in economic status and the use of McDonalds to make their money go further.",70
"210","self","s318","Informative article about contributing factors to getting colds or flu.",100
"211","self","s319","Physical exercise is very important to human health",72
"212","self","s320","It is about the nutrients in tomatoes and spinach",42
"213","self","s321","this has lot of claims",88
"214","social","s322","It is beneficial to add intensity to your workouts.",56
"215","self","s324","Talks about a gut bacteria that could make people run faster.",72
"216","social","s326","This article is about some fitness oriented. Now a days people are very craze in body building I am not against it but the more supplements may cause side effects so this article matters.",10
"217","social","s327","traditional healthy tip usually misleading person's concept",40
"218","social","s328","This article matters to people I know because I know people that live on both the east and west coast",59
"219","social","s329","This article is important to people I know because it is addressing one of the issues of climate change.  This is not only important to the people I know but everyone on the planet.  It is important because if we do not address it our species could become extinct.",7
"220","self","s330","My best friend died from cancer so this is very personal for me.",24
"221","self","s331","The food was yummy and tasty!",70
"222","social","s335","so they know they importance of family and ways to showcase love",70
"223","self","s337","The article explains the health benefits of eating plant-based foods high in flavonoids. It may help prevent death due to cancer and cardiovascular disease.",22
"224","social","s338","Obesity is a health risk and the 'obesity paradox' fails to be substantiated.",108
"225","social","s344","I think this will be good mothers. It will help improve the strength of your child's teeth when he/she is growing",60
"226","self","s345","This is why you should start using a green energy provider.",83
"227","social","s348","There is a lot of pressure on the bone",98
"228","social","s349","being environmentally responsible by reducing plastic usage",55
"229","social","s352","This article help will help people to be fit and it will help to improve someone's health",56
"230","social","s353","This article is about eating food.",78
"231","self","s358","It was indirectly influenced in my life",3
"232","self","s360","We need to appreciate the resolution because of our next generation will get a better and safe life. We have do something for our future life too",31
"233","social","s361","This article, from Chef Tom Colicchio, recommends only purchasing produce by the day, so you won't waste what you don't use.",20
"234","social","s363","It matters to people who cares about environment. 
Mix climate issues with a unimportant drone being captured by a reporter.",1
"235","social","s364","The Vaquita mammal is rare and almost extinct in nature!",101
"236","self","s368","It's about avoiding breakfast before exercise as a weight loss strategy",0
"237","self","s371","Global warming is causing more and more severe types of storms.",15
"238","social","s372","More fluids like water and good juice everyday is good for our bodies and prevents other illness as we get older.",46
"239","self","s373","Keeping healthy is the only way forward.",4
"240","self","s375","There are some members of my family and social circles that are obese and have Chronic Illnesses due to that. I do not. I never judge them or get after them but try to ""lead and instruct"" by example. This would be a good option or at least a good and novel ""conversation starter"" about obesity.",74
"241","social","s380","Policy makers were able to gain authorization to use a coal mine.",21
"242","social","s386","it is about how perfume can pollute the air as much as cars do",107
"243","self","s387","less sugary drink consumption leads to better health",94
"244","social","s390","the us could save the $120 billion a year for the sedentary children",12
"245","self","s394","best of wilderness for environmental protection",19
"246","social","s395","because to tell the real news or tell the truth and also for to stop the fake news",88
"247","social","s396","Parents make kids fat.",92
"248","social","s399","This will help us be able to afford hybrids and electric cars.",73
"249","social","s400","It can help my child for development.",86
"250","self","s401","Yes the dog felt like one of the member on the family, dogs has a good relationship with humans and its sleeping on the same bed with human is reasonably well as a dog person it felts very personal to me.",38
"251","self","s402","It's about how our government is reacting to reduce the climate change",35
"252","social","s403","oil and gas companies getting sued by states",105
"253","social","s406","People I know care about being healthy and happy and exercise is a big part of that.",56
"254","self","s411","i like very much of Olympic and very interest game  and $1 million prize was saved",5
"255","self","s412","flu and cold challenge for immunity .have high power immunity not affect the cold and flu",100
"256","self","s414","This article is about a potential algal along the coast in Friday that's toxic and harmful to wildlife.",39
"257","self","s415","Good inputs from wise people on health",64
"258","self","s418","It is about a mammal that is going extinct.",101
"259","self","s419","poor hearing being associated with more injuries",90
"260","social","s420","Every child will consume only mother's milk on during this six months.",44
"261","self","s421","I have experienced a major Earth quake before and I can understand the fear of natural disasters.",15
"262","self","s422","This means that I'll have to find some other way to ease my sore muscles.",40
"263","social","s423","Exercise is not enough to lose weight.",6
"264","self","s425","This article is about how exercise keeps a person's body younger.",18
"265","self","s432","This article is important to me because I can relate to it.  I sometimes eat more when I exercise and feel frustrated when I don't lose more weight.",78
"266","self","s434","climate change is one of the important cases in the world",25
"267","social","s435","It is a heartwarming story and it is good for the people around me to know life should not be taking for grounded.",70
"268","social","s436","Have a influence of how the US deals the global warming.",75
"269","self","s437","because its just like a magazine to useful to me",104
"270","self","s439","It matters, because I am alive and living on this planet. Unless more law suits are brought against big corporations that put profits instead of the environment, the destruction of our planet will continue.",105
"271","social","s442","I cook most of tomatoes because they taste better. tomatoes have nutrient and also in spinach. there is also the oxalic factor in cooking spinach or eating it raw.",42
"272","self","s444","This article matters to me because climate change has bad effects on human",27
"273","self","s445","dance well is good for health",14
"274","self","s446","I live in the Midwest and I don't have flood insurance.",53
"275","social","s448","It matters because people like me notice that having a dog in the room helps us sleep. It's validating to us to know that there is actual evidence that we aren't just imagining the correlation.",38
"276","self","s449","I am more aware of my health, so this article is important to me personally.",84
"277","self","s450","I worry about my own higher-protein diet.",26
"278","social","s453","daily using things so this article matters to people",57
"279","social","s454","Skier wants to save snow and scientists win money.",5
"280","self","s456","Because i am one of the natural lover",79
"281","self","s457","I am currently pregnant and this information could help my future child.",30
"282","social","s460","This is about a book that promotes healthy eating for children.",2
"283","social","s462","Some scientific findings on obesity.",108
"284","social","s463","this would encourage people to take care of their body regularly",58
"285","social","s466","It matters to people I know because they are keeping people healthy and saving money.",12
"286","social","s467","Korea is improve by the American fast food.",70
"287","social","s470","About whether cooking tomato and spinach cause the nutrients to change.",42
"288","self","s471","I've often wondered if everything I put in the recycle bin gets recycled or if I'm just causing more work and more trash.",49
"289","social","s473","it's about a Swedish girl solitry act",65
"290","self","s475","Climate change will effect not only us but for generations to come. We really need to clean things up",71
"291","self","s478","This article is for parents to understand the benefits of the program which helps to consider sending the kids to attend the program.",86
"292","social","s479","basically telling how you can be recycling wrong",69
"293","self","s481","Because I have considered taking these supplements but they might kill me.",10
"294","self","s482","This article matters to me because I care about the future of the planet and of the survival of the human race.  If coal is continued to be used as a fossil fuel, then this will worsen global warming, disrupt weather patterns and cause coastal cities to eventually flood.  I don't want everything that the human race has accomplished so far to be for naught.  Money should not obscure logic and common sense.",43
"295","self","s483","After years of being told to avoid high-impact activities like running, it looks like we've been letting our bones atrophy. I don't want to be frail and brittle when I get old!",98
"296","social","s485","Foods to avoid to prevent kidney stones",46
"297","self","s487","Article is about environmental and nuclear power",51
"298","social","s488","its about being vegan and have food restrictions because of gout",26
"299","self","s490","The effect of antioxidants on after exercise soreness.",40
"300","social","s492","It's important to encourage children to exercise because habits learned in childhood are carried into adulthood.  It often is hard to make big changes later in life.  One of my best friends was never encouraged to exercise and has struggled since adulthood with obesity and sticking to a workout routine.",12
"301","self","s493","Exercise can keep you healthy and young",18
"302","social","s494","The global warming is changing the climate, for some country's are very effective to the incident",95
"303","social","s495","This article matters to some people i know who are trying to achieve a healthier state of being.
By understanding its about quality and not quantity could make it seem more do-able",8
"304","self","s496","not so good about this article",24
"305","social","s497","This article is about a proposed incentive to buy electric or hybrid cars.",73
"306","social","s498","A lot of my friends have different places in ancient Rome and Greece on their ""bucket list"" of places to travel before they die.  Because they've assumed these places will aways be there, they haven't prioritized travel yet -- but I'm sure they would be quite sad if they never get to see the things they read about Western Civ.",85
"307","self","s499","so much of oil content in that deli meats so I think it is bad for health",28
"308","social","s502","This article is about the children's menu and healthy eating suggestions for children.",2
"309","self","s504","This article matters to me personally because I believe climate change is a very serious issues that the world needs to take more seriously. It's going to impact our world in ways that the future, our children, will have to deal with.",59
"310","social","s505","This article discusses how cooking will affect nutrients levels in tomatoes and spinach.",42
"311","social","s506","This talks about why people who don't know much about GMOs are against them.",102
"312","self","s507","using good bacteria to aid in weight loss.",74
"313","self","s512","How to move away from using platics",55
"314","social","s513","I have friends and family members who struggle with their weight and this may be helpful information for them",74
"315","self","s514","This is impportant as we all have to clean our homes!",47
"316","self","s515","Arctic National Wildlife Refuge is an helpful development to the oil and gas exploration.",61
"317","social","s516","This article about weather condition prediction",91
"318","social","s517","The Article is about wind turbine",1
"319","self","s520","Article is about an increase in the risk of staph skin infection in people who took statins.",80
"320","self","s522","My friend Dave has had trouble with Kidney stones in the past. I would pass this on to him.",46
"321","self","s526","This is so true! I sleep with my dog too.",38
"322","self","s527","Pharoahs tried to increase grain production but failed",37
"323","social","s529","This article says that we eat more when we exercise.",78
"324","self","s530","meat is not a safe food for humans",52
"325","social","s531","Climate change is at it again!",53
"326","self","s532","I think it is important for us to take care of the environment and I have children and grand chidren that i am concerned about with climate change.",35
"327","social","s533","Some who are recycling might be making things harder for recycling companies if they do not know how to recycle certain items correctly.",69
"328","self","s535","This article is about the potentiality fatal nature of sleep apnea and its tie to obesity.",106
"329","self","s537","This article is hinting towards personalities or how you do things are affected by what you are around.",36
"330","self","s538","The importance of heritage sites is hard to overestimate. Climate change threatens many sites around the world, and so much of our civilization began around the Mediterranean. To lose those would be an irreplaceable loss.",85
"331","social","s540","This article has to do with how exercise helps not only children, but our nations economy.",12
"332","social","s541","It talks about whether or not cooking helps bring out the nutrients in tomatoes and spinach.",42
"333","self","s543","The benefits for kids and pregnant women to eat more fish.",30
"334","self","s544","It is about Sleep apnea",106
"335","social","s545","If it isn't offered, less people will drink it and there will be a healthier society.",94
"336","social","s546","A workout to help you get healthy",58
"337","social","s547","This article is about algae blooms killing wildlife.",39
"338","social","s548","People must knows the ancient places.",85
"339","social","s551","we need to prevent illness with a good shape and healthy eat",82
"340","social","s552","This is about people still building homes in areas which are known to flood",23
"341","social","s553","It’s not all about activity!  There’s other things at play that could help us!",6
"342","social","s554","Because it discuss the information regarding babies.So it is necessary to know by the people around us",44
"343","self","s555","we should know about  ancient egyptian leaders",37
"344","social","s558","How to get your kids to eat",2
"345","social","s559","it is about solar power",93
"346","self","s561","Deli meats are heavily processed and shoud not be eaten.",28
"347","social","s563","If people are not buying flood insurance that means it will cost all of us more in taxes to help pay when disaster strikes flood regions.",53
"348","social","s567","I know a lot of people that live in Florida that could be affected by rising sea levels.",59
"349","self","s568","Its about the concern and remedy for skin infections and its risk.",80
"350","social","s570","This matters to people like me because I do not want to die from drinking sugary drinks.",4
"351","social","s571","Creating your own company to try and cure your own disease is quite an impressive way to go about such a situation. I hope he has success and his efforts may go on to help others dealing with this awful form of cancer.",24
"352","self","s572","This is an attempt at a climate change plan from Senator Chuck Schumer introducing a $450 billion proposal. The proposals purpose would be to give consumers a voucher allowing them to buy American made trucks and cars that are hybrid. This would be done to help people buy electric cars   while impacting climate change in a positive way.",73
"353","social","s574","The article is about learning to battle fires that could break out anywhere in the USA.",17
"354","social","s575","This would help my husband who has high cholesterol.",64
"355","self","s576","It seems that education about GMOs leads to less opposition. Those uneducated about them are generally more opposed.",102
"356","self","s577","Being healthy as I get older gets more and more important.",100
"357","social","s578","This article discusses the benefits of exercise for children and why it can help save the United States billions of dollars per year.",12
"358","social","s581","This article is about American Car Emissions Rules",29
"359","social","s582","Everyone in my family sleeps with a dog in their bed, so this is good to know!",38
"360","self","s583","i am so glad it `s finally happened and the better move towards concern about global warming.",31
"361","self","s584","You might make mistakes accidentally more if you are losing your hearing.",90
"362","self","s587","If anyone has a sweet tooth, it's me.",4
"363","self","s588","This article is about helping obese people with probiotics.",74
"364","self","s589","My kids joined in on this propaganda and it was interesting to me that once you got past the highlighted points they wanted to make, they did not want any actual discussion, just a reason to have another skip day.",109
"365","social","s592","Imagine a good idea coming from public school systems.",86
"366","social","s593","Many people in lack of knowledge about obesity. This news may help them.",74
"367","social","s594","The article is about fuel efficiency rule for automobiles mainly for the oil industries.",29
"368","self","s595","I have really learned what to do to avoid kidney stones problem. This is interesting to know.",46
"369","social","s598","This article is about how a before-school exercise program may help children feel happier and mor3e energetic.",86
"370","social","s599","among the most consequential provisions is the permanent reauthorization of the land and water conversation.",19
"371","self","s600","I am trying to lose weight",94
"372","social","s602","this article matters to people I know because everyone wants to be healthy, and nutrition science can be so hard to follow.",66
"373","social","s606","The above article is about the walking of persons.",36
"374","self","s608","technology to combat climate change will be beneficial for my life in the long term",1
"375","social","s610","It helps to recover from the disease multiple myeloma and it does matter for people who are suffering from cancer.",24
"376","social","s613","Different vegan foods that can lead to gout.",26
"377","self","s615","about consuming less power",31
"378","self","s616","Then the world is learn to live with fire.",17
"379","social","s618","Oceanographer is interviewed and auto makers are asked about climate change.",71
"380","self","s619","Obesity Paradox risk",108
"381","self","s620","Too much interference by lobbyists in our government.",89
"382","self","s621","Many people are forgoing flood insurance in uncertain times.",53
"383","self","s622","cause it is quite informative",44
"384","social","s623","This article is about Arctic wildlife refuge to oil and gas exploration",61
"385","self","s624","I would be very sad if soemone close to me died because of this.",10
"386","social","s626","It is an article which explains the causes of Gluten free diet.",66
"387","social","s627","Because climate change is important",11
"388","self","s628","This article is about  climate change.",45
"389","self","s629","My mother was a cancer patient.",24
"390","self","s630","The above article is about to decrease the possibilities of heart attack by following diet, smoking cessation, stress management and excercise",84
"391","social","s631","New study suggesting that biking is bad for your bones.",98
"392","social","s634","How well people and dogs sleep in a room together.",38
"393","self","s635","It is about deli meats causing cancer.",28
