"","cond","SID","value","article_number"
"30","social","s045","it matters to people i know because everyone ages and they appear to get slower as they get older, but not that much",76
"31","self","s046","the meat cause the increase in the cholesterol that cause affect in the heart disease affects personally",50
"32","self","s048","Whether or not recycled items actually get recycled after china stopped recycling most foreign garbage.",49
"33","social","s049","Someone I know might be dating someone else with an eating disorder.",96
"34","self","s051","The article describes a huge area of plastic pollution in ocean and how it continues to grow out of control.",79
"35","self","s052","This articles describes why mice have shown that exercise may not be the key to weight loss.",6
"36","social","s053","The article is about how climate change will result in multiple climate related crises simultaneously.",99
"37","self","s054","They discussed solution to rising global temperatures.",81
"38","social","s055","Parents need to be made aware of how they are molding their children not only morally but with making healthy choices.",92
"39","self","s056","Children worldwide joined the fight against climate change.",109
"40","self","s057","Fish are very high in nutrients and omega-3 fatty acids. These are necessary for brain function.",30
"41","self","s058","This is bad for our environment and I care about the environment.",29
"42","social","s062","The article is about how to reduce your carbon footprint and make better green choices.",51
"43","self","s063","Advice on dealing with floods.",25
"44","self","s064","it's not known whether or not staying home more is beneficial overall",33
"45","social","s065","It's about how we do slow as we age, but it isn't as bad and as steep as many people believe it to be.",76
"46","social","s066","Its not how you eat, its what you eat.",8
"47","self","s067","A breakdown of a conference focused on climate technology.",81
"48","social","s068","A new exercise program helping kids.",86
"49","self","s069","An article about youth taking a stand to help climate change.",109
"50","self","s070","Say what? I will have to spend some time reading this.",107
"51","social","s072","A cancer researcher started a company to crowd-source an individualized approach to cancer which he personally had.",24
"52","social","s073","This is about affordable alternatives to using cleaning products that you have to throw away.",47
"53","social","s074","Fighting against climate change",105
"54","social","s075","sugary drink is injurios",94
"55","self","s076","its about how if children got up off their ass and did some physical activity it would save our nation a boatload of money",12
"56","social","s078","It matters because this type of information is dangerous to spread and puts animals at risk of being endangered because of our negligence.",77
"57","social","s079","about colds and flu and if having a strong immune system can fight it",100
"58","self","s080","Until we get rid of the 1%, we'll never be able to solve climate change.",43
"59","social","s081","it wouldn't matter because nobody I know runs",72
"60","self","s082","This article matters to me personally because I have been wanting to start weight training for several months now. This article may be what gives me the information I need to start a new change in my life.",48
"61","social","s083","It matters because it affects the environment and could mess it up.",89
"62","self","s084","the more you excercise as you get older the younger you will feel.",18
"63","social","s085","This article would help people avoid waste while grocery shopping.",20
"64","self","s086","The US Senate passed a bill that designates over a million acres of wilderness for protection.",19
"65","self","s089","The fires in California are still burning, and it's important to learn how to deal with it.",17
"66","social","s090","I know a lot of people who eat deli meat daily that should be aware of this.",28
"67","social","s092","People will suffer more with the climate change.",87
"68","self","s093","People dont know what the fuck they are talking about.",102
"69","self","s095","We need to combat global warming and it will require many nations, including those in the EU, to commit to it",41
"70","social","s097","We need to have better containers that are eco-friendly, like hemp, for example. Plastic just accumulates in the ocean",79
"71","social","s099","fun heart monitors in fitness?  i dont buy it",58
"72","social","s100","Young people calling for action against climate change.",27
"73","self","s101","Restricting travel by staying home conserves energy.",33
"74","social","s103","Carbon emissions could get worse for us and it could pollute our fresh air.",41
"75","self","s104","This article matters to me because I am concerned about the impact of climate change and also concerned about natural disasters and the damage they cause.",99
"76","self","s106","This article is about the increased risk of breast cancer that comes with women who eat more processed meats.",52
"77","social","s108","A supplement used for things like losing weight, gaining muscle among others could be fatal.",10
"78","social","s110","Climate change make people worst in current situation..",27
"79","self","s111","I live in an area where hurricanes are very prevalent.",53
"80","self","s112","My family's home was affected by a recent hurricane. Climate change could be affecting more people and more severely now and in the future.",99
"81","self","s113","This article matter to me personally because I want to be healthy and live a long healthy life free of any diseases like Parkinson's disease.",82
"82","social","s114","This is important for many people because mental illness affects the spouses too.",96
"83","social","s115","Figuring out what land will be under water in 20 years will be a good money maker for some.",59
"84","social","s116","The Egyptains in the past tryed to help the climate. They did not do the best at what they did to stop it. It was lessons learned helping for others to grow on.",37
"85","social","s117","wildlife exploration is the best thing",61
"86","self","s118","More people need to know exactly how disastrous these fires have been.",17
"87","self","s119","Some skier thinks the world is going to run out of snow. Also, scientist win a prize by mapping peat.",5
"88","social","s120","Nature proves superior to man-made solutions once again",68
"89","self","s121","A pill may help people who are overweight.",74
"90","social","s122","because people want to be healthier",94
"91","social","s123","I know people who are interested in alternative energy sources for use at home.",1
"92","self","s124","This article is about how the Senate approving drilling in the Arctic because it has opened up oil and gas exploration.",61
"93","social","s125","What to eat and drink to prevent kidney stones",46
"94","social","s126","to rewrite the American car emission rules for automobiles which have been aggressively moves",29
"95","self","s127","please give only healthy food for their children",2
"96","self","s130","This article is about fast weight training.",48
"97","self","s132","It just depresses me",9
"98","social","s133","Why does everything bad for you tastes so good?",94
"99","social","s134","This article is about how to adjust your lifestyle so you are not using Single-Use plastics as much.",55
"100","social","s136","This article is about how wild storms and their dangerous rains have resulted from global warming, better evacuation of flood zones and worse news all around.",15
"101","social","s137","Many of my friends are smokers are on the heavier side. I believe this article basically illustrates a real potential reality of those who fit this category. Article brings forth evidence allowing for those I know make the decision to make a difference before they suffer from a heart attack due to the plaque build directed from their lifestyle.",84
"102","social","s139","It's interesting that there's still the assumption that children can be controlled. Also, while they are impressionable, is it in their best interest to try and control them?",92
"103","social","s140","Because they want to switch to green energy",93
"104","self","s141","Because i used to be a smoker",16
"105","self","s143","eat calcium rich foods to avoid kidney stone.",46
"106","self","s145","I have serious fears about global warming as I get older and it shifts and destabilizes society.",97
"107","self","s146","I have a bit of an interest in scents and collect them, so this is kind of a worrying article.",107
"108","self","s147","This article is about wildfires are occurring more frequently in our country now.",17
"109","self","s149","The spring season comes to end after the climate change",71
"110","social","s150","It would likely have an effect on the prices of things that we buy in day-to-day life. The companies losing their money could move the loss onto consumers.",87
"111","self","s151","It's sad to see that children are more interested in tv, video games and electronics and not getting out and getting physical exercise",12
"112","social","s153","My friends are interested in global climate change",65
"113","self","s155","Things that may not actually be recyclable.",69
"114","social","s156","It is about the benefits of eating plants to get your necessary protein and how others have done that and are evidence that it works.",64
"115","self","s157","The Article about forecast warming world",17
"116","social","s159","MINE HAS CLAIMED VICTORY OVER ENVIRONMENTAL ACTIVISTS",21
"117","self","s160","This is important because humans like us need nutrients to strengthen our immune system",42
"118","self","s161","THE ARTICLE IS ABOUT THE DAMAGED ENVIRONMENT AND SHRINKING ECONOMY",9
"119","social","s163","We can hope that these people who have joined the call will actually do something rather than sit on their laurels but it's important that the call to action has grown larger and includes a younger generation.",27
"120","social","s166","This article would matter to people I know because it could give them insight to health and how a bacteria supplement could improve their performance while working out.",72
"121","self","s167","This matters to me because it is likely to impact the world economy in a negative way which could impact the financial stability of my own life.",87
"122","self","s168","This is an article about lawsuits related to climate change.",105
"123","social","s170","this is about how wrong we are in recycling simple things wrongly",69
"124","self","s172","How working out can prevent dementia, it was studied in middle aged women.",34
"125","social","s177","Flavonoids in plants can lower your cancer risk",22
"126","self","s178","This is about CBD and how little is actually known about it.",88
"127","self","s184","The planet is experiencing hotter months than ever, specifically in June.",91
"128","social","s185","This matters to people I know and everyone on the planet because if we do not combat climate change our species could go extinct.",41
"129","self","s186","Physical exercise obviously goes back much further than that, to a time where people wouldn't have thought of it as working out, but rather a way of life.It is very important article to me.",56
"130","self","s187","This article focuses on climate change and included conversations with an oceanographer, automakers, and forecasters.",71
"131","social","s189","A chef making suggestions for shopping at a farmers market",20
"132","social","s191","this world not only for humans",77
"133","self","s192","This article matters to me personally because I want to be healthy and take care of my body.",56
"134","self","s193","Having a heavy food regularly can push the people into obesity problem and it make the people life time to shorter.",108
"135","self","s194","It is important to me to address climate change so wasy to do that is good.",31
"136","self","s195","A mining project in Australia that burns coal.",43
"137","self","s196","It contains important information that I did not know about fish making us smarter.",30
"138","social","s197","If this diet unlikely to provide benefits, i make sure all people in my community should know about it",66
"139","self","s198","This article about the climate change in next 5 years this article makes me feel fearful.",87
"140","self","s200","Article is about Precaution measures for kidney stone",46
"141","social","s201","The problem is there are so few green energy providers in our state. It's hard to make changes when they're not available. :(",83
"142","self","s202","All people should do exercise daily",56
"143","social","s204","Motion keeps the brain on its toes as it ages.",14
"144","social","s205","It's possible that a gut bacteria could help make us run faster since that bacteria is higher in mice that ran faster.",72
"145","social","s206","very much useful conference.",81
"146","self","s207","I am sick and tired of my life being affected by climate changes and these companies need to be held accountable!",3
"147","self","s208","the highest level of weght associated cancer are in the south,my esidence also in the south side",54
"148","social","s210","A climate change bill that helps Americans buy electric cars.",73
"149","self","s211","The article indicates that increased consumption of plant proteins may lead to lower rates of cardiovascular death or stroke, thus lengthening life spans",64
"150","self","s212","Opposing to government",102
"151","social","s214","looks like babies can have food sooner than we thought",44
"152","social","s215","I hope this fraction can increase in the next administration!",93
"153","social","s216","How dancing can be good for your brain.",14
"154","self","s217","It looks like more and more lawsuits are happening with oil and gas companies.",105
"155","social","s218","It affect many people lives",53
"156","self","s219","It matters because the environment effects all people and future generations",9
"157","social","s222","A major scientific report issued by 13 federal agencies on Friday presents the starkest warnings to date of the consequences of climate change for the United States, predicting that if significant steps are not taken to rein in global warming, the damage will knock as much as 10 percent off the size of the American economy by century’s end.",9
"158","self","s223","This article is about how Parkinson's Disease and Heart Risks are related in a way that some people may not know.",82
"159","self","s224","This matters to me if I decide to use CBD.",88
"160","social","s227","people with really needs much help, hope and money",24
"161","self","s230","Being a dog lover, I have found that having a dog in the bedroom makes me sleep better knowing I have security.  Researchers know what others have known for centuries, its wise to have a dog for protection. You will sleep well.",38
"162","self","s234","This is about using clean energy for your personal home use.",83
"163","social","s235","It is about knowing the details and making their actions clear",89
"164","social","s236","this article matters because it includes informations that can help the US save a tun of money which in my opinion can help to put towards helping the less fortunate and building the country.",12
"165","self","s237","PROTEIN HELPS US TO LIVE LONGER",64
"166","self","s242","It deals with the need to increase our need for solar power.",93
"167","self","s243","Happy to have this helpful info to share with parents-to-be!",60
"168","social","s246","This is about using computers to treat and predict cancer.",104
"169","self","s248","This article very much influencing in my thoughts. Because many of Americans started to make conversation about climate change and its impacts. This article claims that the climate changing creates disaster. Partially it must be true",13
"170","social","s249","how banning sugary drink had a positive effect on workers",94
"171","self","s250","This article matters to me personally because I offered vitamin D to my wife during her pregnancy.",60
"172","social","s251","This matters to people I know who live on planet earth and don't want climate change to ruin the world we live in.",3
"173","social","s255","This would just be relevant health information for the people I know to keep in mind. No one I know is obese, though.",54
"174","social","s257","because most of the cleaning products are not effective",47
"175","self","s258","Activities for active brain.",14
"176","social","s259","It is very necessary article it tells about the necessary of Twilight and energy source",93
"177","self","s260","Heart monitors can make HIIT fun and exciting to do.",58
"178","social","s261","Feeding babies solid food at 3 months.",44
"179","self","s262","I have been feeling very fit lately as i have intensified my workout about 5% more than the usual.",56
"180","social","s265","A strike against a oil superpower trying to avoid investigation and a win for the environment.",3
"181","self","s268","I feel that the it is important that a baby can go on solid foods earlier and it would help me out on the formula and save me some money to and they will get healthy foods",44
"182","social","s270","People should ensure their safe and secure by insuring from future disasters",53
"183","self","s273","the economy and climate change are all making a negative impact on society",9
"184","social","s274","It is a very interesting news",3
"185","social","s275","Exercise could help you love longer",56
"186","self","s276","it was about the smoking is not good for health and not smoking gives a healthy and long life.",16
"187","self","s277","solar power is very important to produce electricity",93
"188","self","s278","This is good to know! I will pass this information along to my female family and friends and hopefully they will be able to reduce their risk for breast cancer.",52
"189","social","s279","This article is about the climate change declaration at Arctic Talks",35
"190","self","s280","women eating processed meats have a higher chance of breast cancer
",52
"191","self","s281","This article suggests that it matters more what you eat and not how much you eat.  It says you can eat larger portions of healthy foods.",8
"192","social","s283","climate change and global warming isues affect all of us",27
"193","self","s287","It matters because I am one of those Americans staying home but I'm not saving energy at home.",33
"194","self","s288","How to prepare for the increase in flooding caused by global warming.",25
"195","social","s292","The elections have consequences regarding what will be done about climate change and how much it may cost taxpayers.",75
"196","social","s294","It is good to know what is going on with the climatic change in our community.",71
"197","social","s295","GMOs and people that oppose them don't know that much about them.",102
"198","self","s297","Most processed foods are harmful to our health.",28
"199","social","s299","Deli meats increase risk of colon cancer.",28
"200","social","s300","advantages and disadvantages of using plastic and paper bags",57
"201","self","s301","It is important to state healthy.",64
"202","social","s303","Hearing is very important",90
"203","self","s305","Low impact sports for exercise might make bones weaker in old age",98
"204","social","s307","climate change is real",7
"205","self","s308","It is about high intensity interval training tool.",58
"206","self","s311","Babies who are given solid food at 3 months sleep longer than babies who are exclusively breast-fed through the age of 6 months.",44
"207","self","s313","The possibility of diet and exercise reduce artery plaque.",84
"208","self","s314","As coal-derived energy is a major contributor to global warming, the success of this particular coal mine detracts from my personal goal of combating climate change.",21
"209","social","s316","The article is a summation of the election results relative to climate change issues.",75
"210","self","s318","My dad has sleep apnea, and is on a C-PAP at night.",106
"211","self","s319","This article is very motivational",76
"212","self","s320","It is about coal despite the profound risk",43
"213","self","s321","This article is about skin infections.",80
"214","social","s322","Most people I know are environmentally conscious and this article would provide them with some simple things they can do to cut down on plastic.",55
"215","self","s324","A zoologist wrote that polar bears are fine, climate scientists disagree.",77
"216","social","s326","The article declares that the environmental issue which the world defending against it. Every living things in this world they had its own place because of our developments we may cause some indirect damage for our environment this article definitely matters.",15
"217","social","s327","relate to the ultimate sports fans",45
"218","social","s328","I know plenty of people that enjoy HIIT training and would like to know more about it.",58
"219","social","s329","This article matters to people I know because both of those issues are key to survival.  The environment is key to the survival of our species and the other is survival economically.",9
"220","self","s330","It's pointing out we can save food from being wasted if we buy only what we need right away. Good idea, I'd rather have everything fresh.",20
"221","self","s331","Taking supplement is healthier way and increase the nutrition.",72
"222","social","s335","making it known that the supplement is not yet confirmed to work for humans",72
"223","self","s337","I guess that this could push people into higher density living as usable land decreases. I like having a modest amount of space to live in and the reduced traffic from a moderate level of population density.",25
"224","social","s338","They frequently engage in the use of perfume and paint and they generally care about the environment.",107
"225","social","s344","Waste managers often call this wishful recycling but it is wrong. Because it can do more harm than good.",69
"226","self","s345","I have family who take statins for their cholesterol and their health isn't good enough to handle a staph skin infection.",80
"227","social","s348","I hope we do something about climate change soon",97
"228","social","s349","My parents need to lose some weight so this article might help",56
"229","social","s352","This article matters because it will help to reduce climate change with the aid of recycling",55
"230","social","s353","This article shows that how hungry is this grandmother.",70
"231","self","s358","Very useful tip to weight loss",0
"232","self","s360","They had some great plan for the future days. In present day leaders should try to learn from the our forefathers and had to apply on the real life.",37
"233","social","s361","The article concerns the fact that Americans are still building homes in flood-prone areas, despite our increased awareness in climate change concerns.",23
"234","social","s363","I guess it's relevant to people who like snow ? Or is it environmental statement ? No idea what mapping peat is...
I think it might be regarding climate change ?",5
"235","social","s364","Some people I know are interested in the environment and safety of it.",105
"236","self","s368","The article is about weight loss based on diet quality.",8
"237","self","s371","The benefit of exercising seems to be directly related to the length of life.",16
"238","social","s372","A Tibetan glacier once again collapsed again after it did in 2016, puzzling scientists and causing them to reconsider their research.",45
"239","self","s373","Using wind energy could be useful in the future.",1
"240","self","s375","I love Science in general and the Headlines seems to imply that the Auto Industry are serious about Climate Change. I also want to read what Sylvia Earle has to saw during the conversation/interview. Plankton is vital to the Earths Oxygen Levels and the Oceans Ecosystem.",71
"241","social","s380","Because of a disease, a person had to give up food that would otherwise be healthy for them.",26
"242","social","s386","it matters to a lot people especially people that is battling breast cancer it can help with their situation",104
"243","self","s387","climate change leading to more bigger problems",99
"244","social","s390","they will provide the two big climate meeting that is used the food waste.",11
"245","self","s394","effects of global warming",15
"246","social","s395","This article is about to switch a Green Energy Provider",83
"247","social","s396","Treat eating disorders to help.",96
"248","social","s399","A floating trash zone is much larger than originally believed and is growing at an exponential rate.",79
"249","social","s400","Can statins use increase skin infection?",80
"250","self","s401","Of course even myself felt that the walking depends on the person with whom we are walking",36
"251","self","s402","It's about how the world has been changed because of people keeps to work and stay at home",33
"252","social","s403","multiple aspects lead to you being immune or not to the flu/cold",100
"253","social","s406","It is about how eating more meat leads to higher chances of breast cancer in the study/studies they are citing.",52
"254","self","s411","now a condition most of the people were effected in diabetes and it is very dangerous disease effects on energy regulation hormones at normal human consumption levels",4
"255","self","s412","the article give information about  california and new york have sued oil and gas giants",105
"256","self","s414","The article is suggesting readers to help the Earth by consuming less but also is trying to educate about government shutdown and climate change.",31
"257","self","s415","this is strange. all strive for records",62
"258","self","s418","This matters to me personally because I need to know what G.M.Os are and I should study them.",102
"259","self","s419","earth had its hottest june this year",91
"260","social","s420","It makes a great issue of climate change. Burning coal will make a risk to future.",43
"261","self","s421","Working out and doing cardio like cycling professionals do probably does keep you biologically younger.",18
"262","self","s422","A carbon emissions proposal failed due to the objections of countries that are heavily dependent on coal.",41
"263","social","s423","We all need to get on board with solutions for clean energy.",1
"264","self","s425","This article describes how to cope with a drought with respect to the potential for fires.",17
"265","self","s432","This article is about climate change and how scientists are trying to expose a fabricated blog about polar bears.",77
"266","self","s434","Deli meats is produced to the cancer .",28
"267","social","s435","The differences experiences throught the lossing weight process due to  individual biological differences.",78
"268","social","s436","Shift gears are necessary things on climate change.",71
"269","self","s437","health is wealth so low calorie food like eat maintain our body level",108
"270","self","s439","This unfortunately is a sad view into a society, that cares more about themselves than other people living on this planet.",103
"271","social","s442","babies should only be fed breastmilk until 6 months under current guidelines.",44
"272","self","s444","This article matters to me personally because of the champions coal that won in national elections",21
"273","self","s445","conservation bill makes the statement",19
"274","self","s446","Being overweight can lead to cancer.",54
"275","social","s448","This article is about a study which suggests a correlation between physical fitness and reduced rates of Dementia, in middle aged women.",34
"276","self","s449","This article describes the risk of statins.",80
"277","self","s450","I do tend to eat deli meats at least weekly, so it is slightly relevant.",28
"278","social","s453","this is health issues details so this article matters to people you know.",50
"279","social","s454","Skipping breakfast as weight loss strategy.",0
"280","self","s456","Special treatment for obesity",74
"281","self","s457","The US blocked the Artic Council's ability to issue a joint declaration regarding climate change.",35
"282","social","s460","My father and others I know are avid skiing fans so the preservation of snow would interest them greatly.",5
"283","social","s462","Everyone wants cleaner air, right?",107
"284","social","s463","this would encourage them to use other reuseable bags",55
"285","social","s466","It matters to people I know because these storms can damage their homes or kill them.",15
"286","social","s467","Electric cars are helpful for global to reduce the global warming.",73
"287","social","s470","Most of the people i know recycle so it would matter to them to know where its going and if it is really being recycled.",49
"288","self","s471","An article about climate change causing more avalanches that are bigger and what to expect in the future.",45
"289","social","s473","it's about diet for people with a high in gluten",66
"290","self","s475","laws to reduce climate change were voted on in the election",75
"291","self","s478","There are more diseases spreading across. But there is not much information about it and how to cure it.",88
"292","social","s479","That since 1950 we had generate 8 billion tons of plastic that has been impactful to our environment",67
"293","self","s481","If kids play it helps the US save money, presumably because of health benefits of activity",12
"294","self","s482","This article is about how you can do brief sets of exercises targeting different areas of your body so that you can get into shape and gain muscle tone with short, 13-minute exercise sessions.",48
"295","self","s483","As a husband of a woman with an eating disorder, all I want to do is help! I just wish I knew how",96
"296","social","s485","Express weight training",48
"297","self","s487","It feels me better understanding",57
"298","social","s488","fuel efficiency rules for automobiles pushed back by lobbies",29
"299","self","s490","Coal is a dirty fuel and should be used less.",43
"300","social","s492","Exercise such as cycling is proven to keep us younger and healthier longer.",18
"301","self","s493","Moving around is good for the brain and your age",14
"302","social","s494","This article about hearing loss message...this activity is serious injuries",90
"303","social","s495","This article matters to older family members of mine who have strong sweet-tooths and are also diabetic and over the age of 60",4
"304","self","s496","to prevent the plants , its god's gift",22
"305","social","s497","This is a summary (or a highlight, or a title) of an article about climate change and perhaps automakers and their expectations.",71
"306","social","s498","A school program where children exercise before the day begins -- and hour of running and different games -- has results that indicate that participants are happier and more energetic throughout the day.",86
"307","self","s499","climate change is natural one ,we must make a pre-safety method for our protection",27
"308","social","s502","This article is about sugar drinks and the health risks and negative effects on our bodies.",4
"309","self","s504","This article is about how a heart monitor can make High-intensity interval training fun and easier for people to do.",58
"310","social","s505","The article busted the myths about antioxidants that said will ease muscle soreness after exercise.",40
"311","social","s506","A rare animal called the vaquita died because they were trying to capture and rehabilitate it so now there are only 30 left.",101
"312","self","s507","its a danger to the ecosystem and natural rescources",79
"313","self","s512","I work out and sometimes do these type of exercises",58
"314","social","s513","This article explains how the election results will influence the future of a variety of climate change initiatives",75
"315","self","s514","Good to know so I don't waste effort on this!",40
"316","self","s515","Downside to going Gluten-free should be a disciplined by oneself.",66
"317","social","s516","as i said before climate change is to learn by everybody and particularly about global warming",95
"318","social","s517","It contains more information to me",5
"319","self","s520","This article matters to me because all lives matter, even animals. Weakening the law will kill off species that are endangered!",89
"320","self","s522","Because I love to cook and to know what I'm putting into my body.",42
"321","self","s526","Traveling less to save energy overall.",33
"322","self","s527","I care about the wildlife in Fl even if I live in NJ",39
"323","social","s529","Study suggests that a common gut bacterium may help obese people with metabolic disorders.",74
"324","self","s530","meat is dangerous for health",50
"325","social","s531","Because this applies to most of us living in the midwest.",54
"326","self","s532","The reason we are traveling less is due to covid-19 and we are somewhat forced not to get out.",33
"327","social","s533","This could help people I know to come up with new challenges in their workout routine.",62
"328","self","s535","This article matters to me because G.M.O's are a hot topic because more research should be done to determine their safety, and I want to be safe.",102
"329","self","s537","Ancient Egyptian lifestyle could only make it for so long.  That way of life could not survive.",37
"330","self","s538","Everyone focusing on using green energy in place of fossil fuels would greatly slow the damaging effects of climate change.",83
"331","social","s540","This matters to people i know because it shows that exercise can help keep your immune system in tip top shape, which is important given the corona virus situation.",18
"332","social","s541","It matters because burning coal will harm the environment and my family as well as friends will be affected.",43
"333","self","s543","US and its decision about climate change",35
"334","self","s544","It is about the Immune system",100
"335","social","s545","Some think that climate change isn't real, please read these real stories from the front lines.",97
"336","social","s546","I know women who eat processed meat and it is important to them because the shouldn't want to get cancer.",52
"337","social","s547","It matters because some people are interested in history and would find it interesting to know how the pharaohs lived.",37
"338","social","s548","People must knows the risk of developing staph infection.",80
"339","social","s551","yes i think we can make improvement in our body and mind every time in the day",84
"340","social","s552","This explains how climate change is affecting our world with rising water.",25
"341","social","s553","Sugar is bad all around!",4
"342","social","s554","It makes our body fit,where most of the people of today don.t have the sufficient time to do so.",48
"343","self","s555","fitness is very important for healthy body",34
"344","social","s558","People want to be able to stop climate change.",5
"345","social","s559","because it is very uselful to people",91
"346","self","s561","Buy food on a regular basis to help prevent wastage.",20
"347","social","s563","Everyone is always telling me how much worse red meat is for me and now science is proving them wrong.",50
"348","social","s567","If plastic or papers bags are better.",57
"349","self","s568","Climate change creates an greater impact for all people who were environmental friendly. I always prefer to protect our environment for our future generations.",83
"350","social","s570","This article matters to people I know because it is in an online article.",5
"351","social","s571","Young people absolutely need to continue to fight against climate change and I feel that taking it to the streets and/or a strike like this is one of the best means to do it.",27
"352","self","s572","The fear of being able to run and do similar activities may be less possible to people as they age, but it is much less steep than people fear. The decline in activity is unavoidable, but should not be feared and is less of a worry than most think.",76
"353","social","s574","This article would matter mostly the people I know because of the holiday food waste mention.  not so much about climate issues.",11
"354","social","s575","I am an aspirational recycler.",69
"355","self","s576","Luck, genetics, and lifestyle are the items that help determine how you handle sickness.",100
"356","self","s577","Artificial Intelligence is helping researchers predict and treat cancer.",104
"357","social","s578","Exercise such as walking or dancing is very beneficial for the brain, especially as we age. Socializing is also important.",14
"358","social","s581","These vegan foods are good for health",26
"359","social","s582","You can help the Earth by consuming less in 2021",31
"360","self","s583","it`s good to here even ancient people having some adoptive nature to survive on disasters.",37
"361","self","s584","Sugary drinks are a huge boon to health and quitting can bring a lot of health improvements.",94
"362","self","s587","I'm all about saving snow.",5
"363","self","s588","This article is about climate change deniers and where they get their information.",77
"364","self","s589","When agencies acting on behalf of government start suing businesses, my prices go up on what I purchase.",105
"365","social","s592","This has been known for years and doctors keep prescribing them.",80
"366","social","s593","Today the people more care about our environment, for the things it may be ensure about environment.",79
"367","social","s594","Its about the regulations in Australian coal mine .",21
"368","self","s595","Using antioxidants to ease soreness of the muscle after a rigorous exercise.",40
"369","social","s598","This article matters to people I know because not eating healthy, smoking, being stressed and lack of exercise is something all of them do. This will help them learn how to turn all of that around and possibly prevent them from having a heart attack in the future",84
"370","social","s599","smoking is not good for health",16
"371","self","s600","Hearing loss impacts motor skills",90
"372","social","s602","It is about drilling for oil in Alaska.",61
"373","social","s606","Sugary drinks are non benefit to people life.",32
"374","self","s608","increasing wildfires and their implications",7
"375","social","s610","A farmer's shopping with chef Tom Colicchio about avoid wasting food.",20
"376","social","s613","Climate Change is affecting the entire world and everyone needs to know about it",27
"377","self","s615","advantages of eating sea food",30
"378","self","s616","I very like to the climate. so we have meet in climate forms.",11
"379","social","s618","My grandfather was obese and it led to the health issues that made him pass.",74
"380","self","s619","Because obesity is now a days very important for human living.",106
"381","self","s620","Great information on how to possibly improve and extend my life",84
"382","self","s621","Nuclear power has its advantages and disadvantages as alternate power.",51
"383","self","s622","A proposal to reduce the 28 country bloc's net carbon emission failed",41
"384","social","s623","i will recommend to take Gluten contain foods.",66
"385","self","s624","Even though there are a lot of disaters, the billions of money for recovery are not being spent. Govt aid is too slow.",13
"386","social","s626","Article is about benefits of vitamin During pregnancy.",60
"387","social","s627","Protecting the environment is important.",19
"388","self","s628","This article is very important to me.Because I always add tomatto and spinach in my dish",42
"389","self","s629","As a citizen I too will be affected.",29
"390","self","s630","The article is about switching to green energy provider",83
"391","social","s631","People with eating disorders need help from partners, but partners are apparently clueless.",96
"392","social","s634","This matters because saving energy can help save the environment.",33
"393","self","s635","Flavanoid rich foods lower chances of cancer and cardiovascular death.",22
"394","self","s636","I wonder if my children would have had less cavities had I taken higher doses of Vitamin D during my pregnancies.",60
"395","self","s638","Which gives more energy while playing between those two?",68
"396","social","s639","Help the environment and seek out an environmentally beneficial energy provider. And climate week is upon us.",83
"397","self","s640","I have personally known to climate change of this year...",97
"398","self","s001","If you skip breakfast before you workout,  it could help you lose weight.",0
