cond,SID,text,article_number
self,s048,Explaining why the word keeps using coal despite certain disadvantages.,43
social,s049,Drinking less sugar drinks improves health.,94
self,s051,Probiotics could be useful for obese people with metabolic disorders.,74
self,s052,Since I am overweight this means a lot to me.,8
social,s053,It gives a sense of perspective on how far we have to go to in order to limit carbon emissions in our electrical grid.,93
self,s054,I am belief that the highest calling of leadership is to respect the potential in others.,89
social,s055,I know people who have suffered from eating disorder(s). This article would be relateable to them.,96
self,s056,Lawsuits about climate change has moved inland.,105
self,s057,Men have been trying to control the climate and failed since the history of our world. We all need to pitch in and save our planet.,37
self,s058,A Dr. with cancer started a company to research the cancer he has.,24
social,s062,"Cancers that are associated with excessive weights have the highest rates in certain states. They are more prevalent in the South, Midwest, Alaska and Washington D.C. while they were less prevalent in Mountain States, New England and Hawaii.",54
self,s063,"It doesn't, except that it pisses me off to see people act so stupidly.",23
self,s064,the US blocking climate change declaration for the Arctic,35
social,s065,"This matters to people I know because a lot of them are eco-friendly, and this would help so much with buying a hybrid or electric car.",73
social,s066,The court system dismissed Exxon's case about climate,3
self,s067,"I have family members with some heart issues, so it is scary to read about all the different outcomes that are associated with heart disease.",82
social,s068,It's about harming endangered animals for money.,89
self,s069,With the pandemic raging it is so important to me to stay healthy for myself and my kids.,100
self,s070,Everyone should get tested for Sleep Apnea! It is more than snoring.,106
social,s072,"Is climate change causing more floods and what makes a flood ""catastrophic""?",25
social,s073,This matters because climate change will affect people that I know.,45
social,s074,We can all make a difference in reducing our city's air pollution,107
social,s075,eating disorder is sometimes unhappy,96
self,s076,This article matters to me because it shows that as a nation we are showing compassion for our environment and the creatures that live in it,19
social,s078,It matters to people I know because it has to do with the future of our well being.,75
social,s079,no one likes air pollution,107
self,s080,Babies who eat solid food sooner are able to sleep longer at night.,44
social,s081,It would help the environment,73
self,s082,This article is about the perfect diet to prevent kidney stones.,46
social,s083,Scientists don't know much about CBD and its effects.,88
self,s084,Moving is good for the brain.,14
social,s085,This article is about the affects of eating deli meat on peoples' health.,28
self,s086,A study found that dietary supplements can be dangerous.,10
self,s089,Diet supplements can be very dangerous for your health.,10
social,s090,This doctor is taking a personal cancer experience and trying to do something about it.,24
social,s092,Global warming is really coming.,85
self,s093,I am not a liberal so I dont care about climate change I worry about living till I die.,103
self,s095,Overview of a study where simple and short weight training can help you build strength,48
social,s097,We should all be thinking about climate change and who we elect might just save our lives.,75
social,s099,so now neither red nor white meat is good for you.,50
social,s100,This article matters to people I know because it has information on how to stay safe when water rises (flooding).,25
self,s101,The United States blocked a positive environmental legislation.,35
social,s103,The article is about whether your recyclables get recycled or not.,49
self,s104,This article is about the correlation between having difficulties hearing and getting into accidents.,90
self,s106,This article matters because I have a carbon footprint that impacts the world around me.,51
social,s108,This effects everyone that has to deal with severe weather.,15
social,s110,HEALTH IS WEALTH WE NEED TO BE SAFE...,22
self,s111,The article is about why we should ditch single use plastic straws for the environment.,55
self,s112,Climate change affects all of us. I want our wildlife to have a safe environment for years to come.,91
self,s113,Its about a new substance that doesn't have a lot of background information from scientists and it is unknown.,88
social,s114,There are more and more ad campaigns for raising awareness for climate change.,95
social,s115,"We had flooding in my state 2 years ago. Nobody was ready for it, only half the people in my town even had sump pumps. In the Midwest particularly, people are not ready for the coming effects of climate change such as flooding.",53
social,s116,Dogs and humans do will sleeping together. Makes sense as my dog is my bestfriend. It matters to others to have that assurance,38
social,s117,banana contains high vitamins,68
self,s118,This is important step in protecting our planet.,19
self,s119,"A report from ""13 federal agencies"" warn global warming could affect the GDP by 2100.",9
social,s120,Races may get interesting to those of us who aren't athletic,62
self,s121,It may make me more physically able.,72
social,s122,Because we have to live on this planet.,99
social,s123,This article is about a major oil company's abuse of the legal system to block research on climate change.,3
self,s124,This article matters to me because climate change is something we must all pay attention too. The younger generation is really great with this.,65
social,s125,Why countries are still burning coal.,43
social,s126,to avoid waste of food and the precaution of not to waste the food,20
self,s127,"if weather is not good , so they judgement are waited",3
self,s130,This matters to me personally because I don't want kidney stones! They're painful!,46
self,s132,America is accused of needing to do more for climate,1
social,s133,"I don't understand people who don't ""believe"" in climate change.",97
social,s134,"Most of my friends are female so knowing which foods can increase risk, especially if they have a family history, is very important since cancer is awful.",52
social,s136,The article is about how the slow use of government aid spending has resulted in billions of unspent recovery fund dollars while disasters are still multiplying.,13
social,s137,"more than two dozen Law makers, lobbyist and administration have joined together to propose the removal protection of species and weaken the law of protection.",89
social,s139,"Solar power led the way in 2017, but it's still just a small percentage of the world's electricity sources.",93
social,s140,Romantic partner involvement in treating eating disorders,96
self,s141,PAssing an enviormental bill,19
self,s143,E.U leader fails.net carbon emission bloc.2050 failed.,41
self,s145,Climate change will increase the number of climate-related disasters.,99
self,s146,These stories always have me worrying about how humans do not treat precious life the way they should.,101
self,s147,It matters to me because we could potentially allocate that saved money to other issues and benefit us.,12
self,s149,Societies' activity also one of the reason of climate change.,75
social,s150,It's about changes in lifestyles to decrease the likelihood of having a heart attack.,84
self,s151,"California is a beautiful state. It's very sad to read about the devastating fires taking place. It's a horrible experience for the people of California to lose all they worked so hard for. 
We must take efforts to stop the fires",17
social,s153,Drilling in Arctic Wildlife Refuge closer to approval by senate,61
self,s155,This article matters to me because I am also passionate about climate change.,65
social,s156,"Because when fires spread people have to leave their homes to get out of harm's way. Sometimes, that is just a major inconvenience but sometimes they come back to find their home and all of their belongings are gone. If invasive grasses worsen fires then we need to know this and do something about it.",63
self,s157,The article about say some matters.,19
social,s159,PROTECT PLANTS AND SAVE HEALTH,22
self,s160,this article is about questioning whether the cities are recycling or not,49
self,s161,ARTICLE MATTERS TO ME PERSONALLY BECAUSE OF THE POSSIBLE WEIGHT LOSS STRATEGY THAT TO SKIP BREAKFAST BEFORE EXERCISE,0
social,s163,Good advice from Tom Colicchio to buy the produce you need when you need it and not earlier.,20
social,s166,"This article matters to people I know because Climate Change is real and affects people in their daily lives. It will be interesting to read about how automakers plan to change to keep up with demand for ""cleaner and greener"" autos.",71
self,s167,The article is about cholesterol medication increasing the risk of skin infections.,80
self,s168,This is an article about genetically modified organisms.,102
social,s170,this article will motivate some of my athletic frieds,62
self,s172,I really feel like we waste too much and consuming less helps the environment.,31
social,s177,People I know care about their health.,28
self,s178,I've been to some of these places and it would be a shame to lose them.  They are global treasures.,85
self,s184,Because health is important as I age.,98
social,s185,Disposable cleaning products,47
self,s186,It is very important news to me.My uncle having an obesity.He tried very hard to loss his weight.,54
self,s187,This article is about a person who found ways to stretch money after moving from a wealthy lifestyle in Korea to living in poverty in California.,70
social,s189,It would be nice if young people would use their energy to vote.,27
social,s191,It's about human's used plastic things,79
self,s192,This article is about reducing your use of disposable plastic items.,55
self,s193,This one is related to know the persons who suffer from cancer and give a treatment.,104
self,s194,It is interesting to see how men and women differe,36
self,s195,Cleanliness is healthy and helpful.,47
self,s196,The article matters to me because it discusses the important issue of Climate Change that affects everyone,35
social,s197,"Exploration in Artic wildlife may harm the wildlife i animals i guess , so people i know will oppose it",61
self,s198,This is about the program called BOKS program which is making children feel happier and more energetic before the class.,86
self,s200,The article is about weight reduction program with in short period of time.,48
social,s201,We worry a lot about the future when it comes to climate change but this means we could lose our past even sooner!,85
self,s202,Plastic bags is unhealthy so we go with papers in the grocery shop,57
social,s204,I know a lot of old people who would probably be interested in cycling.,18
social,s205,Everyone has a grandmother and can relate to their grandparents' ways.,70
social,s206,It is very must for childerns,86
self,s207,I am at risk for several of these health issues and I choose to control my sweet tooth because of it.,4
self,s208,flood insurance most important for everyone,53
social,s210,What automakers know about climate science.,71
self,s211,"This article matters to me because it's a clear indication that our elected leaders are not taking climate change seriously, nor are they taking into consideration what the general public wants. Most people do not want oil or gas exploration in the Arctic National Wildlife Refuge.",61
self,s212,Pictures from youth climate,109
social,s214,dont worry about consuming this after exercising,40
social,s215,"As shown elsewhere, this confirms the shifting temperature baseline!",91
social,s216,It is about global warming.,15
self,s217,It appears that obesity might not be that big of a factor in cardiovascular disease after all.,108
social,s218,It was usage of plastics and reusability,55
self,s219,It suggests skipping breakfast before exercise.,0
social,s222,"A New Year’s resolution so common, it’s almost a cliché: “This year, I’ll lose weight.” The new year is already running and we start to picture ourselves several pounds lighter and flaunting a svelte figure in a bikini, the kind of figure that will have us rummaging in our closets for those jeans we haven’t worn in years and sliding onto the dance floor eager to show off our moves and confidence.",8
self,s223,This article matters to me personally because I want to stay healthy and vibrant as I age.,84
self,s224,A program helps children with before school activities.,86
social,s227,A place to live is the basic need for every human being,23
self,s230,The article is about sugary drinks and how they have no health benefits. Sugary drinks are bad for me and can complicate my health problems with sugar.,32
self,s234,This gives me hope that the biggest polluters might change their ways.,87
social,s235,Is to improve all forms of assistance subject to action  Their machines beautifully showcase the processes they need considering the development of the staff as well,81
social,s236,"This is important! people in california are a risk and because of the increasing of areas affected by drought, the rest of us might be at risk too!",17
self,s237,VITAMIN D WAS IMPORTANT DURING PREGNANCY,60
self,s242,This is important because it helps bring awareness to this most pressing issue.,95
self,s243,Invasive grass species are increasing the risk fo wildfires,63
social,s246,This is about sleep apnea.,106
self,s248,This article instigate me to think about children's health. Because so much of children in US grows without proper immunity level. Exercising will helps to develop children's health and also it reduces stress level.,12
social,s249,Solar is something  we need to be using more of,93
self,s250,The article is about recycling wrong things. We cannot and should not recycle every things. For example some kind of plastics cannot be recycled.,69
social,s251,This might matter for people I know who are overweight or care very much about their current weight.,6
social,s255,"It matters to people I know because I live in Florida, which is projected to be underwater at some point in the not so distant future. What that means is, since I live in Florida, everyone else I know lives in Florida.",59
social,s257,glacier collapse   is dangerous ...,45
self,s258,Kincade fire in California,17
social,s259,This article gives one nice message so I was explain this article matters to the people,96
self,s260,Recycling is an important part of environmental control,55
social,s261,"Climate change affects us all, and thus, this affects all of us.",41
self,s262,This is why i stay away from most processed meats lately.,52
social,s265,This article might sound an alarm to those who drink soda continually.  Compelling reasons to cut the habit.,4
self,s268,It tells me about how other eastern countries would not agree because of their heavy use of coal,41
social,s270,It would made a better world for us in future,55
self,s273,exercise without dieting might not help you lose weight,6
social,s274,It was good and very interesting,4
social,s275,Being overweight could cause cancer.,54
self,s276,It was about the climate changes in now and they give tips for how to reduce food waste.,11
self,s277,cycling helps to keep our bones healthy,98
self,s278,This is good to know! I am trying to manage my cholesterol levels.,50
social,s279,It have no health benefits so this article matters to people to know,32
self,s280,It matters to me because it shows no matter what you eat you can still have health problems.,50
self,s281,This book will help parents learn how to make sure their kids eat healthy.,2
social,s283,because people want to know as much as possible about cancer,28
self,s287,It's about how different people walk and the pace that they walk in.,36
self,s288,This is ridiculous if true. How is fuel in-efficiency good for the American public?,29
social,s292,A wealthy Korean grandmother and her grandchild save money with McDonald's fast food upon relocating to California.,70
social,s294,This Article is about people not having discipline in their eating habit when they do exercise.,78
social,s295,It's about using AI to prevent breast cancer.,104
self,s297,"This would be so hard for me, I love hummus and black beans!",26
social,s299,This article is about floods  and climate changes.,25
social,s300,it will help them reduce the consumption of red meat as this may affect their health,52
self,s301,It is important to protect people and property from the threat of wildfires.,63
social,s303,It's about climate change. So it's important to people,97
self,s305,Hearing loss leads to more accidents.,90
social,s307,because it discourages eating unhealthy food,4
self,s308,I need to exercise more to reduce my weight.,56
self,s311,This article is about a big problem with recycling. A lot of our recycling is ending up in landfills now that China is no longer taking as much of it.,49
self,s313,Possible benefits of a before-school exercise program.,86
self,s314,I believe that climate change is an issue that everyone should work towards solving. Joining a strike demonstrates that many people still care about climate change and demand more than our leaders' inaction on the subject.,27
social,s316,It is about a change in economic status and the use of McDonalds to make their money go further.,70
self,s318,Informative article about contributing factors to getting colds or flu.,100
self,s319,Physical exercise is very important to human health,72
self,s320,It is about the nutrients in tomatoes and spinach,42
self,s321,this has lot of claims,88
social,s322,It is beneficial to add intensity to your workouts.,56
self,s324,Talks about a gut bacteria that could make people run faster.,72
social,s326,This article is about some fitness oriented. Now a days people are very craze in body building I am not against it but the more supplements may cause side effects so this article matters.,10
social,s327,traditional healthy tip usually misleading person's concept,40
social,s328,This article matters to people I know because I know people that live on both the east and west coast,59
social,s329,This article is important to people I know because it is addressing one of the issues of climate change.  This is not only important to the people I know but everyone on the planet.  It is important because if we do not address it our species could become extinct.,7
self,s330,My best friend died from cancer so this is very personal for me.,24
self,s331,The food was yummy and tasty!,70
social,s335,so they know they importance of family and ways to showcase love,70
self,s337,The article explains the health benefits of eating plant-based foods high in flavonoids. It may help prevent death due to cancer and cardiovascular disease.,22
social,s338,Obesity is a health risk and the 'obesity paradox' fails to be substantiated.,108
social,s344,I think this will be good mothers. It will help improve the strength of your child's teeth when he/she is growing,60
self,s345,This is why you should start using a green energy provider.,83
social,s348,There is a lot of pressure on the bone,98
social,s349,being environmentally responsible by reducing plastic usage,55
social,s352,This article help will help people to be fit and it will help to improve someone's health,56
social,s353,This article is about eating food.,78
self,s358,It was indirectly influenced in my life,3
self,s360,We need to appreciate the resolution because of our next generation will get a better and safe life. We have do something for our future life too,31
social,s361,"This article, from Chef Tom Colicchio, recommends only purchasing produce by the day, so you won't waste what you don't use.",20
social,s363,"It matters to people who cares about environment. 
Mix climate issues with a unimportant drone being captured by a reporter.",1
social,s364,The Vaquita mammal is rare and almost extinct in nature!,101
self,s368,It's about avoiding breakfast before exercise as a weight loss strategy,0
self,s371,Global warming is causing more and more severe types of storms.,15
social,s372,More fluids like water and good juice everyday is good for our bodies and prevents other illness as we get older.,46
self,s373,Keeping healthy is the only way forward.,4
self,s375,"There are some members of my family and social circles that are obese and have Chronic Illnesses due to that. I do not. I never judge them or get after them but try to ""lead and instruct"" by example. This would be a good option or at least a good and novel ""conversation starter"" about obesity.",74
social,s380,Policy makers were able to gain authorization to use a coal mine.,21
social,s386,it is about how perfume can pollute the air as much as cars do,107
self,s387,less sugary drink consumption leads to better health,94
social,s390,the us could save the $120 billion a year for the sedentary children,12
self,s394,best of wilderness for environmental protection,19
social,s395,because to tell the real news or tell the truth and also for to stop the fake news,88
social,s396,Parents make kids fat.,92
social,s399,This will help us be able to afford hybrids and electric cars.,73
social,s400,It can help my child for development.,86
self,s401,"Yes the dog felt like one of the member on the family, dogs has a good relationship with humans and its sleeping on the same bed with human is reasonably well as a dog person it felts very personal to me.",38
self,s402,It's about how our government is reacting to reduce the climate change,35
social,s403,oil and gas companies getting sued by states,105
social,s406,People I know care about being healthy and happy and exercise is a big part of that.,56
self,s411,i like very much of Olympic and very interest game  and $1 million prize was saved,5
self,s412,flu and cold challenge for immunity .have high power immunity not affect the cold and flu,100
self,s414,This article is about a potential algal along the coast in Friday that's toxic and harmful to wildlife.,39
self,s415,Good inputs from wise people on health,64
self,s418,It is about a mammal that is going extinct.,101
self,s419,poor hearing being associated with more injuries,90
social,s420,Every child will consume only mother's milk on during this six months.,44
self,s421,I have experienced a major Earth quake before and I can understand the fear of natural disasters.,15
self,s422,This means that I'll have to find some other way to ease my sore muscles.,40
social,s423,Exercise is not enough to lose weight.,6
self,s425,This article is about how exercise keeps a person's body younger.,18
self,s432,This article is important to me because I can relate to it.  I sometimes eat more when I exercise and feel frustrated when I don't lose more weight.,78
self,s434,climate change is one of the important cases in the world,25
social,s435,It is a heartwarming story and it is good for the people around me to know life should not be taking for grounded.,70
social,s436,Have a influence of how the US deals the global warming.,75
self,s437,because its just like a magazine to useful to me,104
self,s439,"It matters, because I am alive and living on this planet. Unless more law suits are brought against big corporations that put profits instead of the environment, the destruction of our planet will continue.",105
social,s442,I cook most of tomatoes because they taste better. tomatoes have nutrient and also in spinach. there is also the oxalic factor in cooking spinach or eating it raw.,42
self,s444,This article matters to me because climate change has bad effects on human,27
self,s445,dance well is good for health,14
self,s446,I live in the Midwest and I don't have flood insurance.,53
social,s448,It matters because people like me notice that having a dog in the room helps us sleep. It's validating to us to know that there is actual evidence that we aren't just imagining the correlation.,38
self,s449,"I am more aware of my health, so this article is important to me personally.",84
self,s450,I worry about my own higher-protein diet.,26
social,s453,daily using things so this article matters to people,57
social,s454,Skier wants to save snow and scientists win money.,5
self,s456,Because i am one of the natural lover,79
self,s457,I am currently pregnant and this information could help my future child.,30
social,s460,This is about a book that promotes healthy eating for children.,2
social,s462,Some scientific findings on obesity.,108
social,s463,this would encourage people to take care of their body regularly,58
social,s466,It matters to people I know because they are keeping people healthy and saving money.,12
social,s467,Korea is improve by the American fast food.,70
social,s470,About whether cooking tomato and spinach cause the nutrients to change.,42
self,s471,I've often wondered if everything I put in the recycle bin gets recycled or if I'm just causing more work and more trash.,49
social,s473,it's about a Swedish girl solitry act,65
self,s475,Climate change will effect not only us but for generations to come. We really need to clean things up,71
self,s478,This article is for parents to understand the benefits of the program which helps to consider sending the kids to attend the program.,86
social,s479,basically telling how you can be recycling wrong,69
self,s481,Because I have considered taking these supplements but they might kill me.,10
self,s482,"This article matters to me because I care about the future of the planet and of the survival of the human race.  If coal is continued to be used as a fossil fuel, then this will worsen global warming, disrupt weather patterns and cause coastal cities to eventually flood.  I don't want everything that the human race has accomplished so far to be for naught.  Money should not obscure logic and common sense.",43
self,s483,"After years of being told to avoid high-impact activities like running, it looks like we've been letting our bones atrophy. I don't want to be frail and brittle when I get old!",98
social,s485,Foods to avoid to prevent kidney stones,46
self,s487,Article is about environmental and nuclear power,51
social,s488,its about being vegan and have food restrictions because of gout,26
self,s490,The effect of antioxidants on after exercise soreness.,40
social,s492,It's important to encourage children to exercise because habits learned in childhood are carried into adulthood.  It often is hard to make big changes later in life.  One of my best friends was never encouraged to exercise and has struggled since adulthood with obesity and sticking to a workout routine.,12
self,s493,Exercise can keep you healthy and young,18
social,s494,"The global warming is changing the climate, for some country's are very effective to the incident",95
social,s495,"This article matters to some people i know who are trying to achieve a healthier state of being.
By understanding its about quality and not quantity could make it seem more do-able",8
self,s496,not so good about this article,24
social,s497,This article is about a proposed incentive to buy electric or hybrid cars.,73
social,s498,"A lot of my friends have different places in ancient Rome and Greece on their ""bucket list"" of places to travel before they die.  Because they've assumed these places will aways be there, they haven't prioritized travel yet -- but I'm sure they would be quite sad if they never get to see the things they read about Western Civ.",85
self,s499,so much of oil content in that deli meats so I think it is bad for health,28
social,s502,This article is about the children's menu and healthy eating suggestions for children.,2
self,s504,"This article matters to me personally because I believe climate change is a very serious issues that the world needs to take more seriously. It's going to impact our world in ways that the future, our children, will have to deal with.",59
social,s505,This article discusses how cooking will affect nutrients levels in tomatoes and spinach.,42
social,s506,This talks about why people who don't know much about GMOs are against them.,102
self,s507,using good bacteria to aid in weight loss.,74
self,s512,How to move away from using platics,55
social,s513,I have friends and family members who struggle with their weight and this may be helpful information for them,74
self,s514,This is impportant as we all have to clean our homes!,47
self,s515,Arctic National Wildlife Refuge is an helpful development to the oil and gas exploration.,61
social,s516,This article about weather condition prediction,91
social,s517,The Article is about wind turbine,1
self,s520,Article is about an increase in the risk of staph skin infection in people who took statins.,80
self,s522,My friend Dave has had trouble with Kidney stones in the past. I would pass this on to him.,46
self,s526,This is so true! I sleep with my dog too.,38
self,s527,Pharoahs tried to increase grain production but failed,37
social,s529,This article says that we eat more when we exercise.,78
self,s530,meat is not a safe food for humans,52
social,s531,Climate change is at it again!,53
self,s532,I think it is important for us to take care of the environment and I have children and grand chidren that i am concerned about with climate change.,35
social,s533,Some who are recycling might be making things harder for recycling companies if they do not know how to recycle certain items correctly.,69
self,s535,This article is about the potentiality fatal nature of sleep apnea and its tie to obesity.,106
self,s537,This article is hinting towards personalities or how you do things are affected by what you are around.,36
self,s538,"The importance of heritage sites is hard to overestimate. Climate change threatens many sites around the world, and so much of our civilization began around the Mediterranean. To lose those would be an irreplaceable loss.",85
social,s540,"This article has to do with how exercise helps not only children, but our nations economy.",12
social,s541,It talks about whether or not cooking helps bring out the nutrients in tomatoes and spinach.,42
self,s543,The benefits for kids and pregnant women to eat more fish.,30
self,s544,It is about Sleep apnea,106
social,s545,"If it isn't offered, less people will drink it and there will be a healthier society.",94
social,s546,A workout to help you get healthy,58
social,s547,This article is about algae blooms killing wildlife.,39
social,s548,People must knows the ancient places.,85
social,s551,we need to prevent illness with a good shape and healthy eat,82
social,s552,This is about people still building homes in areas which are known to flood,23
social,s553,It’s not all about activity!  There’s other things at play that could help us!,6
social,s554,Because it discuss the information regarding babies.So it is necessary to know by the people around us,44
self,s555,we should know about  ancient egyptian leaders,37
social,s558,How to get your kids to eat,2
social,s559,it is about solar power,93
self,s561,Deli meats are heavily processed and shoud not be eaten.,28
social,s563,If people are not buying flood insurance that means it will cost all of us more in taxes to help pay when disaster strikes flood regions.,53
social,s567,I know a lot of people that live in Florida that could be affected by rising sea levels.,59
self,s568,Its about the concern and remedy for skin infections and its risk.,80
social,s570,This matters to people like me because I do not want to die from drinking sugary drinks.,4
social,s571,Creating your own company to try and cure your own disease is quite an impressive way to go about such a situation. I hope he has success and his efforts may go on to help others dealing with this awful form of cancer.,24
self,s572,This is an attempt at a climate change plan from Senator Chuck Schumer introducing a $450 billion proposal. The proposals purpose would be to give consumers a voucher allowing them to buy American made trucks and cars that are hybrid. This would be done to help people buy electric cars   while impacting climate change in a positive way.,73
social,s574,The article is about learning to battle fires that could break out anywhere in the USA.,17
social,s575,This would help my husband who has high cholesterol.,64
self,s576,It seems that education about GMOs leads to less opposition. Those uneducated about them are generally more opposed.,102
self,s577,Being healthy as I get older gets more and more important.,100
social,s578,This article discusses the benefits of exercise for children and why it can help save the United States billions of dollars per year.,12
social,s581,This article is about American Car Emissions Rules,29
social,s582,"Everyone in my family sleeps with a dog in their bed, so this is good to know!",38
self,s583,i am so glad it `s finally happened and the better move towards concern about global warming.,31
self,s584,You might make mistakes accidentally more if you are losing your hearing.,90
self,s587,"If anyone has a sweet tooth, it's me.",4
self,s588,This article is about helping obese people with probiotics.,74
self,s589,"My kids joined in on this propaganda and it was interesting to me that once you got past the highlighted points they wanted to make, they did not want any actual discussion, just a reason to have another skip day.",109
social,s592,Imagine a good idea coming from public school systems.,86
social,s593,Many people in lack of knowledge about obesity. This news may help them.,74
social,s594,The article is about fuel efficiency rule for automobiles mainly for the oil industries.,29
self,s595,I have really learned what to do to avoid kidney stones problem. This is interesting to know.,46
social,s598,This article is about how a before-school exercise program may help children feel happier and mor3e energetic.,86
social,s599,among the most consequential provisions is the permanent reauthorization of the land and water conversation.,19
self,s600,I am trying to lose weight,94
social,s602,"this article matters to people I know because everyone wants to be healthy, and nutrition science can be so hard to follow.",66
social,s606,The above article is about the walking of persons.,36
self,s608,technology to combat climate change will be beneficial for my life in the long term,1
social,s610,It helps to recover from the disease multiple myeloma and it does matter for people who are suffering from cancer.,24
social,s613,Different vegan foods that can lead to gout.,26
self,s615,about consuming less power,31
self,s616,Then the world is learn to live with fire.,17
social,s618,Oceanographer is interviewed and auto makers are asked about climate change.,71
self,s619,Obesity Paradox risk,108
self,s620,Too much interference by lobbyists in our government.,89
self,s621,Many people are forgoing flood insurance in uncertain times.,53
self,s622,cause it is quite informative,44
social,s623,This article is about Arctic wildlife refuge to oil and gas exploration,61
self,s624,I would be very sad if soemone close to me died because of this.,10
social,s626,It is an article which explains the causes of Gluten free diet.,66
social,s627,Because climate change is important,11
self,s628,This article is about  climate change.,45
self,s629,My mother was a cancer patient.,24
self,s630,"The above article is about to decrease the possibilities of heart attack by following diet, smoking cessation, stress management and excercise",84
social,s631,New study suggesting that biking is bad for your bones.,98
social,s634,How well people and dogs sleep in a room together.,38
self,s635,It is about deli meats causing cancer.,28
self,s636,Unless you're intolerant to gluten there is absolutely no reason to go gluten free.,66
self,s638,About Sports Event Which may shows some other results which is not expected.,62
social,s639,Companies will see profits drop within the next five years due to climate change.,87
self,s640,I think this article is about the status of the solar power system...,93
self,s001,"I tend to drink a lot of sugary drinks, so this information will help me cut back on that habit.",4
self,s002,good to protect environment just by recycling,69
social,s003,Could help with weight gain which would help a lot of people.,74
social,s004,"It seems like diet pills, no matter how they're marketed, are kind of risky.",10
social,s005,"Heart risks and high levels can possibly lead Parkinson's disease, scary stuff.",82
social,s008,A before school program that will get kids exercising,86
self,s009,Political process for energy exploration efforts in ecologically sensitive area,61
social,s010,it can tell them if lab-grown meat is harmful or not,81
social,s012,This article matters to people I know because they care about the welfare of endangered species.,101
self,s014,I'm concerned about environmental impact on the economy.,9
social,s015,This will help you understand which foods are more healthful cooked.  and which are better eaten uncooked.,42
social,s017,Working towards making your children energetic and happy?Why don't you try the BOKS program?,86
social,s018,This matters because people have to deal with heat and it may result in black outs or cause their area to participate in rolling blackouts to preserve the electrical system.,97
self,s019,It's worrisome news. It shows that climate change is not a distant thing. It is already happening.,97
self,s020,I may at some point in my life try to lower cholesterol by taking satins.,80
self,s021,This article matters to me because I believe recycling is very important for the environment.,49
social,s024,"A few people I know are now buying new homes, and I live near the Mississippi River.",23
social,s025,This article describes the mindset of people who are opposed to genetically modified foods and their knowledge specific to genetically modified foods.,102
social,s028,This article about immune system,100
self,s030,Some of the heritage and historic places are getting destroyed due to the global warming and those list are getting higher day by day.,85
social,s031,Vitamin C & E are good to health,40
self,s032,This article expresses the need to speed up efforts and fight to stop climate change.,27
self,s036,Climate change is an important issue for every human.,95
social,s037,about the tattoo on skin impact,80
social,s038,The choice between natural food and chemically made beverages for energy.,68
self,s040,It is related to challenging race.,62
social,s041,Because I am a woman and sharing this article with my female friends and family is one form of showing them that I care about their wellbeing.,52
social,s042,the other deliberate  a blackout meant to prevent them. Schools and businesses closed and thousands of people evacuated their homes.,17
self,s043,Engaging in bodily movements is healthy for both the body and the mind.,14
social,s045,Vouchers for people making american made electric and hybrid vehicles,73
self,s046,the plastic will not decompose in the land so easily so it cause the environment bad effects and affects every human personally,57
self,s048,A new form of weight training that requires short time to build strength.,48
