tone_ratings,value,SID
1.0,This is about how to incorporate a heart monitor into your high-intensity interval training so it is less daunting and more enjoyable.,s134
1.0,This article matters to people I know because climate change affects everyone and they can benefit from tips on reducing waste to help in the efforts.,s136
1.0,Climate week allows for activist and world leader emphasized the need of going green.,s137
1.0,There are campaign ads that are focusing on global warming.,s139
0.0,Because childhood obesity is on the rise and I know people with kids,s140
0.0,Loads of people displaced because of a hurricane.,s141
0.0,Australia helps for burning coal in future.,s143
0.0,It makes me anxious for the future of humanity as global weather patterns change due to Global Warming.,s145
1.0,The article is attempting to shed new light on G.M.O.s in order to combat certain assumptions on them.,s146
1.0,It matters to me because I am getting older and it is best the start early to maintain our bodily functions than to be too late.,s147
0.0,Obesity is the big problem of teenagers nowadays.,s149
0.0,It's about how heart and blood-related problems are tied to an increased chance of developing Parkinson's Disease.,s150
1.0,"Everyone should try and work on natural forms of weight loss, etc instead of depending on supplements",s151
1.0,The article is about recycling and 6 things you may not be recycling correctly,s153
1.0,Bananas might be better than sports drinks.,s155
1.0,"This article is about Greta, the climate activist, and how she got where she  is today.",s156
1.0,The article about child's play is good for all of Us.,s157
0.0,MELTING SNOW AND ICE,s159
1.0,This is important because I always want the most effective way of cleaning products without wasting too much materials,s160
1.0,EXERCISE ALONE IS NOT A WAY  TO WEIGHT LOSS BECAUSE IT GIVES A LONELINESS FEEL SO EXERCISE WITH A PARTNER IS A BEST WAY TO WEIGHT LOSS AND ENJOYING THE WORKOUTS,s161
1.0,If you eat plants with high counts of flavonoids you have a lower risk for cancer and cardiovascular death.,s163
1.0,The article is about a person visiting McDonald's with their grandmother in both Korea and United States and how the grandmother could afford fast food in both cultures.,s166
0.0,Lawmakers and lobbyist are attempting to weaken protections for endangered species.,s167
1.0,This article is about an endangered porpoise.,s168
1.0,this will be an attention for my fellow people about their diet,s170
1.0,"I know that I personally walk pretty fast, I have never thought about how I walk around other people though.",s172
1.0,People I know will be affected by climate change,s177
0.0,This explains some of the risk factors that contribute to developing Parkinson's disease.,s178
1.0,"The banning of sugary drinks was related to improvements in health at the University of California, San Francisco.",s184
1.0,This article matters to the people I know who exercise because they are always complaining of sore muscles.,s185
1.0,Climate change can contribute to the intensity of heat waves by increasing the chances of very hot days and nights.,s186
1.0,This article matters to me because I care about protecting the environment and I want to know how these things were voted on and by who.,s187
0.0,Many people are still building homes in flood zones despite warnings.,s189
0.0,Peoples are affected with metabolic disorders,s191
1.0,"A Silicon Valley company is trying to find out what sections of land may be underwater in the near future, which is a difficult task but with financial potential.",s192
0.0,Recent days most mammals can died so we should save it for rehabilitation.,s193
1.0,A study shows that people who exercise more are less likely to develop dementia.,s194
1.0,I might want to have healthy organs in my future.,s195
0.0,It is about how a tide is destroying the Florida Wildlife.,s196
1.0,"plants protein  will reduce the cardiovascular death is a good news, i will pass this information",s197
0.0,This article make feel fearful and worried.,s198
1.0,Article is about Solid food for babies,s200
0.0,you would think they would do more to lobby for politicians who support climate action.,s201
1.0,People should take care of their weight,s202
0.0,Recovery funds aren't being properly utilized for recent national disasters.,s204
0.0,"87,000 TONS of plastic floating between California and Hawaii, and growing exponentially??! That's horrible.",s205
1.0,Everyone should take care of it above disease,s206
0.0,I do not want to spend another summer indoors because the smoke is so bad. This is in our backyards already and it's happening in other places that it shouldn't.,s207
1.0,womens dicrease level of meat eating,s208
0.0,What the people had to say about climate change during the elections.,s210
1.0,"The article is about Greta Thunberg, a Swedish girl who became a global symbol for climate action. It details the path she took and how her act of civil disobedience propelled her to fame",s211
1.0,30 vaquita porpoises,s212
1.0,read this to see what you can do to prevent kidney stones,s214
1.0,Healthy lifestyles start early!,s215
1.0,How exercise is good for children.,s216
1.0,It looks like A.I. can help with treatment of cancer.,s217
1.0,It was about different type of meat cholesterol level,s218
0.0,It is about climate change increasing the dangers of wildfires,s219
1.0,"My Bariatric Solutions is owned and operated by Wise Health System. The East Campus of Wise Health System has undergone an independent, voluntary, and peer evaluation in accordance with nationally recognized bariatric surgical standards and has been accredited for bariatric surgery",s222
0.0,This article is about calling into question the validity of CBD and whether or not is effective and has health benefits.,s223
0.0,"If you take statins, beware of risk of staph skin infections.",s224
1.0,learning about flavonoids and its uses creates positivity,s227
1.0,"Who we are culturally determines how we walk and with who. As for myself, I walk at a slower pace and tend to walk about the same speed as my wife. I have been with others that walk much faster than I do. I don't change my speed for them though.",s230
1.0,I'm always looking for reasons to be hopeful about climate change.,s234
1.0,Tirumala says that in five years we will have enough to engage in this kind of recipe,s235
1.0,This article matters because it includes information about longevity,s236
1.0,BANANA REPLACE SPORTS DRINKS,s237
1.0,How workers at a university saw improvement in their  health after a ban on sugary drinks was put into effect.,s242
1.0,Not aa runner myself but this seems applicable to any fitness endeavor,s243
1.0,"This matters because we all will be affected by climate change, whether directly or indirectly and my family includes youth who are interested in climate change.",s246
0.0,This article also claims global warming. It explains the impacts of The Kincade fire in California. Our government should takes step to control this fire,s248
1.0,ads about climate change are being put on the agenda,s249
1.0,This article matters to me personally because I am responsible for my town to clean the environment.,s250
1.0,This matters to my family because all my brothers and sisters have children of their own and we want them to eat healthily.,s251
1.0,"I actually preach this stuff already to the people I know, so this would just be further ammunition for me to load into my truth gun. It matters because every little step helps.",s255
0.0,because we have to know about the coal and climate change,s257
0.0,Land conservation bill will affect the environment and it is not good for people.,s258
0.0,It explains the danger of climate changes in the four continents.,s259
1.0,I have high cholesterol and knowing this makes me want to change my diet.,s260
0.0,Avalanches getting stronger,s261
1.0,It's always good to be lighter in weight or average than to carry high body fat around.,s262
1.0,"Losing weight is a combination of things, not just exercise.",s265
1.0,Tells me how I can stay healthier by using less sodium and more calcium rich foods to avoid kidney stones.,s268
0.0,White or red both have some toxic within it,s270
0.0,wildfires will harm many people and that makes me worried for others.,s273
1.0,It is very useful for peoples,s274
1.0,Some environmentalists think that Nuclear Power is good?,s275
0.0,It was about the climate changes was affecting the america and the government was vulnerable the free aids.,s276
0.0,haet wave nudged earth to its hottest month ever.,s277
1.0,Very interesting article! I have been trying to maintain a healthy lifestyle lately with regular exercise. Studies like this provide me with the motivation to continue!,s278
1.0,This article matters to people to understand the early effort to ward off climate disaster.,s279
0.0,Its about being overweight causing cancer.,s280
1.0,I would be so curious about this article that I would want to read it.  It has certainly peaked my curiosity!,s281
0.0,"people i know ,icht purchase homes in these flood prone areas",s283
1.0,This article is about helping the earth consume less and a Democratic plan to address the issue of the climate changing.,s287
0.0,A victory for coal is a defeat for all breathing mammals who inhabit this planet.,s288
1.0,We might get financial help to purchase electric and hybrid vehicles if Democratic climate change proposal passes.,s292
0.0,American fast food makes some people i Know crazy with the kind of interest they have in it,s294
0.0,Because many of the people I know live in these areas,s295
1.0,Australia will be able to mine for coal.,s297
1.0,It's important to know nutritional and health information in order to safeguard our bodies from illnesses and cancer.,s299
1.0,people are prepared against future natural disaster,s300
0.0,The downsides of a gluten free diet.,s301
0.0,Our world could face many disasters,s303
1.0,I want to be a parent one day so this might be something to know,s305
1.0,that pretty awesome,s307
1.0,It is about usage of single-use plastics.,s308
1.0,This article matters to me personally because I'd like to build strength in my arms. It'd be great to be able to work only 13 minutes a day to get results.,s311
1.0,I like to learn about the scams of Big Pharma.,s313
0.0,Consuming processed meat such as deli meat has been found to increase the chance of contracting colorectal cancer even in small amounts.,s314
1.0,The article is about the misperception that we must slow significantly as we age.,s316
1.0,"A.I. is being used to help predict, treat, and possibly prevent breast cancer.",s318
1.0,This is about the climate change and it is very useful,s319
1.0,This is about babies food and sleep,s320
0.0,This article is about company related risks,s321
1.0,"This is relevant to people I know who live in areas of the country where floods are likely, especially as climate change ramps up.  This could help protect them against potential financial devastation if they were to lose their homes to a flood.",s322
0.0,Many people don't lose weight when they exercise because they also eat more.,s324
1.0,Exercise can refresh our mind and body. This article describes about the Exercise will aging Muscles and Immune systems young and they gave older cyclists has their live example,s326
1.0,person's weight control,s327
0.0,This is about how people are not buying insurance even though floods are more likely in certain areas.,s328
1.0,This article is about eating Quality foods for weight loss.,s329
0.0,"Why coal? It's the year 2020 and I don't understand why some people don't want to move on to something more environmentally safe. I guess the conservatives everywhere, even in Australia don't care about our planet.",s330
1.0,We should reduce the emission of carbon dioxide.,s331
1.0,This is to make known that various climatic conditions also affects the production of activities such as automobile activity,s335
0.0,The article explains how a vegan diet is not compatible with the disease of gout. It suggests that the solution is giving up some healthy foods the author loves.,s337
1.0,They at the very least purchase GMOs so they could find it useful to know more about them/the people that oppose them.,s338
1.0,It is important to pay attention to your nutritional needs in order to stay healthy. Not all can have Gluton-free diets.,s344
0.0,This shows people how heart issues and diseases could cause them to have Parkinson's.,s345
1.0,We all need to cut down on those sugary liquid,s348
0.0,Heavier people are more at risk for cancer,s349
1.0,This article matters to people I know because it will make them to knw more about climate change,s352
1.0,This article is about climatic change for polar bears.,s353
1.0,It made a big impact on my health,s358
1.0,Dogs gives us a great feel to stay with it. It could be like a human. Dogs do some good works for human. In some country dogs use to help the blind persons to get their places.,s360
1.0,"I have young nieces who are very concerned about climate change, so an article about young people taking action against this issue is uplifting and makes me think of them.",s361
1.0,"Article might be important to people that exercise a lot.
It's about staying fit with the right amount of exercise but not only - there could be other factors involved.",s363
1.0,Some people I know love the environment and they want to know information regarding it.,s364
1.0,I currently have interest in learning more about weight loss.,s368
0.0,Government is not helping by spending toward relief even though disasters are getting really bad.,s371
0.0,People that are not really for use of coal in Australia could be affected by the harm it can cause and it affects certain people I know that live there.,s372
1.0,A judge stopped a company from stopping an investigation on climate Change by Exxon.,s373
1.0,"I sometimes struggle to loose those ""stubborn"" lbs (really fat deposits) even though I exercise. It is mainly the infamous ""Love Handles"" that are stubborn. This article will probably have some insights and outsights about those ""stubborn"" lbs.",s375
1.0,This might be relevant information for anyone who develops cancer later in life.,s380
0.0,the important part about this article is that buying a suv will affect the climate,s386
1.0,certain ads are bringing attention to climate change,s387
0.0,the govt aid left America more vulnerable to hurricane Dorian and other climate  is making problem wore,s390
1.0,dancing is my best attitude and my style always and i am very enjoy,s394
1.0,this article is about the disease (Parkinson's disease),s395
0.0,"Hearing loss increased injuries to driving, sports.",s396
1.0,New science about bacteria could help runners be faster.,s399
0.0,It affects the livelihood of everyone.,s400
1.0,Eating fish may makes children's smarter,s401
1.0,People should avoid sugary drinks to live long and healthy,s402
0.0,people dont know anything about GMO's but hate them,s403
1.0,This article is a comparison about plastic bags and paper and the pros and cons of each.,s406
1.0,i did not read this article but wind turbine is neccessary one and it is very useful for farmers,s411
0.0,The S.U.V.s most  sale  for car,s412
1.0,I personally care about children and the environment so I like the idea of promoting fish over cows or other meats.,s414
1.0,I would update this to some of my friends who are dieting fans,s415
1.0,this article matters to me personally because I do not want the cold or flu.,s418
1.0,climate change is important to me and i'd want to see what made these go viral,s419
0.0,"Due to climate change, the glacier will collapse and it will increase seawater level it's causing a major disaster in future.",s420
1.0,Climate change is important and it means preserving a future for my children and their children and their children's children.,s421
1.0,The worsening of climate change matters to me because I live on the coast.,s422
1.0,Intermittent fasting helps people eat less food.,s423
1.0,"The combination of movement and socializing in dancing makes me realize how important it is to keep engaging in regular exercise and social activity, which would make dancing an ideal choice for me.",s425
1.0,This article is about a bill proposal Chuck Schumer made to give Americans vouchers to buy electric cars.,s432
1.0,protect against major killers,s434
1.0,It is about aging and a new perspective about how much you could do in order to keep physically active.,s435
0.0,"if the food was uncontrolled, weight will be gained.",s436
0.0,"GMO its intreacted two plants like food and flowers etc..
its really not good for health",s437
1.0,"Our bodies ability  to ward off sickness may be due to a partnership of good genes, healthy living, and chance.",s439
0.0,consuming a lots of antioxidants through foods or supplements may not reduce muscle soreness after exercise due to the vitamin deficiency.,s442
0.0,This article is about flooding which arises as a result of climate change,s444
1.0,due to weight loss take much amount of protein,s445
1.0,Having a heart monitor can make your high intensity training fun.,s446
1.0,"The article suggests that there is some evidence that eating fish makes children smarter, and it seems to be advising pregnant women and parents to incorporate more fish into their, and their family's, diet.",s448
1.0,This article describes the discussions at the TECH Conference in San Francisco.,s449
1.0,Celebrity Chef Tom Colicchio talks about farmers market shopping.,s450
1.0,this article is about fitness our body,s453
0.0,Too many sugary drinks cause cavities and diabetes. Premature death from this is stupid.,s454
1.0,This article tells about important of exercise,s456
1.0,This article is about how Egyptian leaders in the past tried to fight climate change by using their resources.,s457
1.0,People I know are very concerned about the short and long-term dangers of climate change and the protection of the environment matters to them.,s460
1.0,"This affects everyone, so I recommend checking this out.",s462
0.0,this would raise awarness about being overweight,s463
1.0,"If you are in good physical shape, it may be healthy like not smoking.",s466
0.0,Effect of the climate change Polar Bears are affect more.,s467
0.0,about antioxidants not helping alleviate post exercise muscle aches,s470
0.0,This article is about how one very rich person could get 3 countries to continue burning coal for years even though it has future risks.,s471
1.0,race give a reason  to  have something  new,s473
1.0,I am really big on budgeting,s475
0.0,This article matters to me personally as am afraid that the climate change would cause more trouble to the companies growth and working people job.,s478
0.0,We need to shine light on this as many people encroached their grass and it can cause wildfires which has hurt us recently,s479
1.0,It's about the senate passing new legislation about conservation,s481
0.0,Paper and plastic which gets exported to China for recycling is sometimes not getting recycled but instead is being dumped into landfills; thus when you recycle materials they may not be getting recycled at all.,s482
0.0,"When you lose one of your key senses, the sense of hearing, it leaves you vulnerable to physical injury dur to accidents",s483
1.0,Babies who get solid food at 3 months sleep better,s485
0.0,It personally affects me,s487
0.0,how bad is to eat deli meat,s488
1.0,This article suggests ways to improve sleep of babies.,s490
1.0,"I think this is just common sense advice and it's why a lot of my friends try to do at least some type of exercise.  My husband is a fiend for exercising and in the ten years we've been together, he's never needed to see a doctor for anything.",s492
1.0,"Exercise is good for children, and it could save the US 120 billion a year",s493
0.0,This message relevant to people...very worried about content,s494
0.0,This matter because cost will go up significantly hurting the economy,s495
1.0,healthiest one in meal these are,s496
0.0,I think this article is about a person describing their grandmother's delight in fast food and how cheap it is.,s497
0.0,"Obesity, high blood pressure, high blood sugar, high cholesterol, and whatever a triglyceride is could lead to people developing Parkinson's at a greater rate.  More dangers of obesity and poor diet, I imagine.",s498
0.0,"oil industry now face a new restriction , it affects their business",s499
1.0,"This article is important for current events. It's information people need to know and that matters. The economy and the environment, issues that must interest us all.",s502
1.0,"This article matters to me personally because I am very interested in increasing my exercise and trying to be more healthy in the upcoming year. I intend to push myself more than I ever have, so this directly relates to my life.",s504
1.0,The article suggested environmentally friendly products that my environmentally conscious friends might find useful and relevant.,s505
1.0,AI is being used to search out and prevent or predict breast cancer for better treatment. This matters to people I know because I have friends and family who have struggled with breast cancer and their children and relatives could benefit from this new technology.,s506
1.0,we have the technology to do so much better than burn gas.,s507
1.0,The benefits of exercising,s512
0.0,People who exercise and don't lose weight are most likely eating more without realizing it,s513
1.0,Kidney stones are so painful good to know how to prevent them.,s514
1.0,Taking Vitamin D may help pregnant woman.,s515
1.0,people need to know about solar energy and it is knowledgeable thing to know,s516
1.0,It affects me exercise alone,s517
1.0,"The article is about how dieting, smoking cessation, exercising and managing stress can help remove plaques in arteries to reduce the chance of heart attacks.",s520
0.0,It's about a wealthy industrialist who kept the world burning coal longer than anyone anticipated.,s522
1.0,"Because I have a relative with dementia, it is very important to me to prevent this.",s526
1.0,Eating fish might make me encourage others like kids and women who are pregnant to stay healthy.,s527
1.0,Senator Schumer's climate plan would give vouchers so consumers could buy electric vehicles.,s529
0.0,plastic usage is dange one,s530
1.0,We knew there was a benefit to getting up early and doing what we do!,s531
1.0,I believe that is important based on what we feel like is important to our health and our mental welfare.,s532
1.0,this could help out people recover better who I know that work out regularly,s533
0.0,This article is about the paradoxical nature of obesity and its effects on health and mortality.,s535
0.0,It makes me feel like our studies and results are keeping us indecisive on what is going on with climate change.,s537
1.0,I have three school-aged children who could benefit greatly from such a program.,s538
1.0,This matters to people i know because climate change is going to be something that effects us and our kids.,s540
1.0,"If you  want your baby to sleep better, giving them solid food at 3 months will help.",s541
1.0,It's nice to know the people of earths history and how we came to be,s543
0.0,My society was not clean. So this article matters me personally.,s544
0.0,Hard of hearing? It could cause you more accidents.,s545
0.0,Some people I know still don't recycle.,s546
1.0,It matters to people I know because it would give them a reason to stay active.,s547
0.0,Peoples are must knows how to proposed to remove protections for species.,s548
1.0,excelent option this is the best form to prevent illness,s551
0.0,This is something that is extremely bad for our environment. Coal is known to be something that affects our climate in a bad way and people should be concerned.,s552
1.0,Science is rethinking a healthy weight and diet.,s553
1.0,"May be the people who hate these food items want to see,how much the nutrients does the spinach has.",s554
1.0,it is about to save earth,s555
0.0,Climate change is going to have a large impact on society.,s558
0.0,it is about some disorder,s559
0.0,I am ambivelent towards climate change and its causes. A global stike will prove nothing.,s561
1.0,"There's always a debate about which is worse, filling the landfills with plastic, or cutting down trees to make paper bags.  This might help answer those issues for you.",s563
1.0,A lot of the people that I know live in the south or midwest.,s567
1.0,Its an introduction and impact of some snake oil which researchers were thinking about.,s568
1.0,This article is about having my own wind turbine.,s570
0.0,My parents have a home in Florida that is on the water and whenever I hear news about climate change based flooding I get a little nervous.,s571
1.0,"This topic strikes my interest in several ways, what most makes it important is the curiosity I have about the studies being used to conduct these tests. A gut bacteria supplement sounds both interesting and scary because the example used was mice running faster. This would peak my interest to learn more about the supplement itself and how the study on mice was conducted.",s572
1.0,This article would be relevant to people I know because they are of older the Aging population and this might be a way for them to improve their cognition.,s574
0.0,Most people I know are against this.,s575
0.0,A lot of people I know drive SUVs and the climate affects me and the world.,s576
0.0,People who think they know the most about gmo's know the least about them it has been shown.,s577
1.0,"Global warming is causing weather patterns to become more erratic and dangerous. Despite this, evacuation of people in dangerous areas affected by storms is improving.",s578
1.0,"Nowadays, young adults are aware about climate change. It is a good one.",s581
1.0,"My Mom and I walk really fast, so it's curious to know why we all walk at different speeds",s582
1.0,nature of women and child having interest to eat fish and make them smarter.,s583
0.0,Climate change could wreak much more havoc if something isn't done soon.,s584
0.0,Breakfast is the grossest meal anyway.,s587
0.0,This article is about climate change and politics.,s588
0.0,Being overweight can cause long term problems.,s589
0.0,"So bad health creates health problems, shocking.",s592
1.0,It is about Climate change and research how the polar bears affecting by the climate change.,s593
1.0,The article is to make awareness for the people to save food.,s594
0.0,Climate change and the failure of European Union to respond to it.,s595
1.0,This article matters to people I know because it informs them of common factors in their lives that increase their risk of developing Parkinson's disease.,s598
1.0,exercise is good for health and and aged peoples also look like young when we do exercise,s599
0.0,I grew up on unhealthy eating habits,s600
1.0,bananas are delicious and sports drinks are expensive,s602
1.0,This article is most useful to pregnant women.,s606
1.0,pertains to overall strategies for optimal health,s608
1.0,Flood control is an important step to take by the government to save lives of people,s610
1.0,Energy companies are trying to change certain laws regarding fuel efficiecy rules.,s613
0.0,issue about climate change of our country,s615
0.0,The peoples are no smoking because this is nod good for in life.,s616
1.0,People will get vouchers to help purchase cars with a new government proposal.,s618
1.0,Genetically Modified Organisms,s619
1.0,It potentially has information that would be useful for my toddler as they continue to grow.,s620
1.0,This will help me reduce my carbon footprint.,s621
0.0,Americans plastics and papers are been dumped in landfills cause china stopped recycling most foreign garbage,s622
1.0,Challenge is must in the sports,s623
1.0,I exercise so I am so happy that it is so good for you.,s624
1.0,The article matters to people because it tell about Recycling in correct way.,s626
1.0,I know some old people,s627
1.0,This article is very important to me.Because I always use reusable products,s628
1.0,This is a very useful information.,s629
1.0,The article is about discussion ranged in the conference,s630
0.0,By the end of this century? Good to know we'll all be gone. What's left of the world can fend for itself.,s631
1.0,People should be informed of healthy choices.,s634
0.0,This is going to cause more emissions being released into the air I am breathing.,s635
0.0,They are going to drill for oil in an Arctic Wildlife Refuge!,s636
0.0,This article deals with  giving permission to take  oil and gas exploration in Artic Wild life region.,s638
0.0,Scientists have not found much proof about the benefits of CBD.,s639
1.0,I personally have the analyzing the pressure of the bones...,s640
1.0,A skier trying to save snow and a scientist who won a prize for mapping peat.,s001
1.0,Diabeties and those who are in diets can follow  gluten free,s002
1.0,A breakdown of the elections and how the votes involving Climate Change went.,s003
1.0,This is helping to prevent expansion and exploitation of greedy energy companies from polluting and destroying these lands.,s004
1.0,"5 Takeaways from Climate TECH recent conference. Took place in San Francisco. Topics include, new technology, big data, lab grown meat, new governor candidate and more.",s005
1.0,Going green is not only helps the environment it also helps save money so I want people to know,s008
0.0,Potential risks of gluten-free diet on healthy individuals,s009
1.0,it warns of a possible health issue they can take steps to reduce the risk of,s010
1.0,People who care about the environment should be concerned that SUV's are preferred cars.,s012
0.0,Climate change is such a concern to me.,s014
1.0,This is about staying healthy with a hectic schedule.  Using only 13 minutes of your time to exercise a day.,s015
0.0,Relevant authorities join hands to overturn the endangered species Act.,s017
0.0,Research is indicating that low impact exercise may not be putting enough pressure on the bones causing harm to the bones.,s018
0.0,This article is about how how to tackle eating disorders when you are in a relationship.,s019
1.0,"Plaques in arteries can be improved through various activities, which will in turn decrease the likelihood of heart attack.",s020
1.0,"This article matters to me because I have nieces and nephews who I babysit, and would like for them to get as much rest as possible.",s021
1.0,A lot of my friends are car owners and this kind of thing directly affects them.,s024
1.0,This article matters to people I know as they need to monitor their own health and to keep their weight within a reasonable limit in order to minimize health impacts.,s025
1.0,It is related to my known people as it is about perfumes,s028
0.0,"Some diseases like abdominal obesity, high triglycerides , high cholesterol may cause severe diseases like Parkinson disease , where most of the people have obesity and cholesterol problem  and so it matters me the most",s030
1.0,Reduction of carbon emissions.,s031
0.0,This article explains the risk of colorectal cancer to those who consume many products that contain processed meat.,s032
0.0,Exercise can damage bones.,s036
1.0,Parkinson's disease related around us,s037
1.0,There are supposedly healthier proteins with plant based proteins than a majority of people who get it through meat and poultry.,s038
