tone_ratings,value,SID
1.0,This is about how to eat to avoid kidney stones.,s073
0.0,Obesity is prevalent around our society and it has consequences,s074
0.0,feel worried about this,s075
1.0,makes me feel positive about my exercise goals,s076
1.0,It's important because it may be a solution to healthy weight management that a lot of people I know struggle with.,s078
0.0,companies being sued,s079
0.0,Plastics that were sent to be recycled are being put into landfills because of China's new policy.,s080
0.0,these are issues that people should be concerned about,s081
1.0,This matters to me because I am always looking at products to see how environmentally friendly they are. This article would help me find new items to use to lessen the burden on the planet.,s082
1.0,It tells me how I can avoid having a heart attack and stay healthy.,s083
0.0,government is taking to long of a time to help support those in  need of recovery funds,s084
1.0,It's about how a doctor is using his personal experience to approach disease differently.,s085
1.0,Droughts and wildfires affect everyone.,s086
0.0,Natural disasters are happening and the government is not spending correctly to give people relief for it.,s089
1.0,I have friends that work in the coal industry.,s090
1.0,Living a healthy style can help stabilize people's arteries.,s092
0.0,I dont give a flying fuck about this article and I am getting tired of typing for this shit pay,s093
1.0,"After exercising, I may seek out supplements to reduce muscle soreness.",s095
1.0,I think all of us need to think about how we can benefit from staying healthy as we age,s097
1.0,We all need to contribute to reducing our consumption,s099
0.0,This article is about certain foods that vegans eat that cause Gout.,s100
1.0,"Thrilled to share each night cuddled up to my dog, sleeping soundly.",s101
1.0,Talks about you can build strength in as little as 13 minutes of exercise if you work hard enough.,s103
0.0,This article is about assuming that parents do not take the trouble to reduce their children's chances of gaining weight.,s104
0.0,"This article is about the similarities of ""bad"" cholesterol levels in red and white meats.",s106
1.0,It may encourage people to finally quit smoking.,s108
0.0,Cancer is most dangerous for every human kind....,s110
0.0,I live in the south where food is plentiful and am always watching my weight and what I eat.,s111
1.0,Climate change is important to me because it hurts our wildlife and our surroundings. People need to be aware that climate change is an issue.,s112
1.0,This article matter to me because I have children and I know how school can affect their mental health so this program could be very beneficial to them,s113
0.0,Solar power is not generating enough energy to replace fossil fuels.,s114
1.0,"My friends are concerned about the environment and climate change, knowing which is better to choose at the check out line would be helpful for them to know.",s115
1.0,THe us is trying to put the pressure on helping with environment. Other people care to take care of its history.,s116
1.0,diet makes healthy to body,s117
1.0,"Older cyclists demonstrate how years of regular exercise can keep your body in great shape, enough to compare to the young.",s118
1.0,I don't know why anyone needs a book to explain this. Parents show their children to eat healthy by example.,s119
0.0,You need to be aware of what you recycling,s120
1.0,Not only is there a chance to get funds for a new vehicle but vehicles that could help the planet.,s121
0.0,you may be more likely to have an accident if you have a hearing loss,s122
1.0,This article is about a study on the effects of exercise on weight loss and behavior in mice.,s123
1.0,This is important to me because there is a way to prolong our life.,s124
0.0,Countries are unable to agree to lower environmental impact with their emissions.,s125
1.0,cardiovascular death  and cancer can be reduced by in plant the flavonoids and it my help to protect the killers,s126
0.0,"if morning exercise is an important to weight loss person, so avoid your breakfast or eat some vegetables",s127
1.0,"This matters to me personally because I try to recycle everything I can, so I'd want to learn more about why recyclable materials are being dumped in China.",s130
1.0,A skier wants to preserve snow,s132
1.0,We just don't know enough about mental health.,s133
1.0,Most of the people around me are meat eaters so they would need to know what the effect is on their cholesterol levels.,s134
1.0,This article is about how fitness and endurance benefits your endurance and longevity as much as not smoking.,s136
1.0,Climate TECH conference brought an array of different discussions from big data to lab grown meat. The conference brought many important issues bringing awareness.,s137
1.0,Climate change and weather are important to keep track of.,s139
1.0,How even low impact sports can affect your health.,s140
1.0,Stretching and dancing,s141
0.0,2016 climate changes Triggered.,s143
1.0,How low-impact exercise can affect your bones.,s145
0.0,"I am not obese, but I do know people who are and it leads me to wonder if they are experiencing sleep apnea.",s146
1.0,"This is about some findings coming from climate scientists and negotiators, and how people can reduce their waste for holidays.",s147
1.0,Zoologist suggest that climate  change is often changed.,s149
1.0,The use of CBD could prove beneficial to some people I know suffering from a lack of medication.,s150
1.0,Natural disasters are a concern of all the people. Sometimes it's trial and error to solve disasters. But we need to stay the course,s151
1.0,May be of interest to those people I know in highly suseptable wildfire areas.,s153
0.0,I live in California so wildfires are a danger to me.,s155
0.0,Because they could be doing more damage to themselves than good if they are going gluten-free and they don't need to.,s156
1.0,The Article about fit may be as good for you.,s157
0.0,CHANGE PEOPLE'S BEHAVIOUR,s159
0.0,this article is about how some supplements don't really fix your muscle soreness after exercise,s160
1.0,THIS ARTICLE IS ABOUT THE OWN WIND TURBINE,s161
1.0,"For people like me who don't live anywhere near flood prone areas this won't be a good read but for the rest of y'all who do live in flood zones, you might want to read to gain some idea of how to keep safe and sound.",s163
0.0,The article is about Climate Change and how it had impacted the election.,s166
1.0,I want our nation to prosper. The mental and physical health of our children is an essential part of that and something I care about.,s167
0.0,I think SUVs are outdated and only worsen the climate crisis.,s168
1.0,this is about health benefits of getting proties from plants,s170
1.0,I know that especially because of covid I am doing a lot more things at home and it is saving money.,s172
1.0,A researcher started a company to crowdsource an approach to cancer treatment,s177
0.0,What these people decide to do is going to affect all of us in the years to come.  We need to let them know how we feel about the things they're doing.,s178
0.0,Global Warming is making parts of our world unlivable. We need to act seriously now to prevent further damage.,s184
0.0,"Bigger, quicker avalanches caused by climate change.",s185
0.0,Seems meats caused breast cancer.We should reduce the amount of meat. .,s186
0.0,"The article states that people continue to eat more food when exercising, which leads to weight gain.",s187
0.0,Who knew these healthy items can cause health problems?,s189
1.0,random women visited Mcdonald's with her grandmother,s191
1.0,This matters to me because I am concerned about climate change and want to protect my home.,s192
1.0,Researchers can found a new study for the organisms.,s193
1.0,The article shows that research has found that it is benefitical to dogs and humans to sleep in their bedrooms.,s194
1.0,Young babies who eat solid food might sleep sounder.,s195
1.0,The article is about how staying at home more saves one's energy.,s196
0.0,not a interesting one,s197
0.0,"This is about the Parkinson's disease, this is very very dangerous that disease affect the human body high cholesterol, high blood pressure and high glucose reading increase risk of human.",s198
1.0,Article is about Benefits of antioxidants,s200
1.0,This makes me want to get out and go for a run right now. I'm only 31 but stuff like this scares me in to trying my best to stay healthy. It only takes 30 minutes a day!,s201
1.0,People should avoid red meat and white meat,s202
0.0,I know a smoker who needs a reason to quit.,s204
1.0,Anyone wanting to switch to electric or hybrid would benefit from this!,s205
1.0,Plaques is very good for health and especially for hear attack,s206
1.0,Exercise is not the only answer to the problem if you are trying to lose weight.,s207
1.0,exercise is good for our health,s208
1.0,Staying active while you age might be possible.,s210
0.0,The article details the impact of plastics on the Earth and how humanity is generating waste that is not easily disposed of. It mentions that 8 billion metric tons of plastic has been made since the 1950s,s211
1.0,Artificial intelligence,s212
0.0,looks like climate change is causing some more problems,s214
1.0,These are the hottest days in the last hundred years... they are the coolest days of the next hundred!,s215
0.0,It is about how government aid for a hurricane has not been spent.,s216
1.0,The climate is important as we only have one planet to live on.,s217
1.0,It was about fitness training,s218
1.0,It is about encouraging children to break out of ordering just from the kid's menu,s219
1.0,"Jessie Diggins is a cross-country skier on the American women’s team and a favorite to win a medal at the Winter Games in Pyeongchang, South Korea. If she succeeds, it will be only the second time the United States has won a medal in the sport and the first for an American woman.",s222
1.0,This is important to me personally because I don't want ancient and important places to be destroyed as our society progresses.,s223
0.0,Climate change is going to cost companies.,s224
0.0,catastrophic flood is dangerous for most people,s227
1.0,Children and pregnant women should eat more fish due to the health benefits and provides an abundance vitamins and minerals. I am a fisherman and I catch fish because it's great sport and provides omega 3 vitamins and fish oil for people with heart issues like myself. It's good for me!,s230
0.0,This is about a correlation between cardiovascular issues and Parkinson's disease.,s234
1.0,"Improving all types of assistance to children, including day care",s235
1.0,this article is about law being passed which aims at helping the conservation of land.,s236
0.0,GRASS CAN  MAKE WILD FIRES,s237
0.0,It talks about how parents are responsible for the weight of their children.,s242
1.0,This makes me feel better about my vegan diet,s243
0.0,This matters to several of my family members who are overweight and obese.,s246
1.0,Smoking is injurious to health. We have to leave smoking to achieve long happy life.,s248
1.0,People I know believe that climate change is happening,s249
1.0,This article is about the Arctic Wildlife Refuge.,s250
1.0,"People I know use electricity and its a bill they have to pay, if they could create their own electricity it would save them money allowing them to use it on other stuff.",s251
1.0,Utilizing a specific tool to lessen anxiety about HIIT training.,s255
0.0,it is about why the world keeps burning coal despite the profound risk it poses to the future,s257
0.0,Say no to smoke it affects the health.,s258
0.0,This article explains the climate change and global warming explosion,s259
1.0,We live near two nuclear power plants and understanding how they are interacting with environmentalist is interesting.,s260
1.0,Cooking is fun and we are all looking to be healthier,s261
1.0,People should be paying more attention to this topic.,s262
1.0,Reasons that a personal Wind turbine might be the solution plus other stories on drones and America's response to climate change.,s265
1.0,that express weight training can be benfitical if done with the right exercises in a short period of time,s268
1.0,"People should change their eating tendancy, we should go with organic foods. And we should avoid processed meats",s270
1.0,this is about saving the environment,s273
1.0,The article about weight loss strategy,s274
0.0,I know a lot of people that eat processed meats. They may not be very good for you.,s275
1.0,"It was about the childrens can play everyday,it was give a huge saving on the US.",s276
0.0,this was about how clmate changing affects the climates,s277
1.0,I have been trying to become more environmentally conscious and knowledgable about the environment. The included guide will be helpful!,s278
1.0,This article matters to people to suggests that Americans to travel less are saving energy.,s279
1.0,It gives me a little motivation to excerise.,s280
1.0,"I don’t know too much about wind turbines, so I would read this article to educate myself a little bit about the subject.",s281
1.0,people i know would have to start eating healthy and need to know what could be harmful to them,s283
0.0,There are toxic algal blooms that have overstayed their welcome and are killing Florida wildlife.,s287
0.0,Even a little bit of processed meat increases your chance of getting cancer. Eat beans instead.,s288
1.0,"We might be able to improve our digestive system by running, according to testing done on mice.",s292
1.0,Climate bipartisanship and the people i know want the government that believe in climate change to take charge,s294
1.0,It's about having a strong immune system,s295
0.0,"I have always been so terrified of having my home flooded, I have no idea what I would do.",s297
0.0,Veganism can also be damaging for the body.,s299
1.0,reducing cholesterol intake in red and white meat for health reasons.,s300
1.0,It is important to me to use sustainable products and recycle and materials.,s301
0.0,Romantic partners has an eating disorder,s303
1.0,Stories of how climate change has affected people,s305
1.0,this is awesome. great idea,s307
1.0,About people's interest on insurance against disaster.,s308
0.0,This article matters to me personally because climate change is real and dangerous. It will continue to affect so many aspects of our environment including severe weather.,s311
1.0,I like to learn about what the corporations are selling.,s313
0.0,I believe it is important to take care of fellow citizens in time of natural disaster and hearing news that more Americans will be prone to flooding due to new home construction in flood prone areas is worrisome to me.,s314
0.0,The article is about how we offset calorie burn from exercise with increased eating which ultimately causes weight gain instead of loss.,s316
0.0,A higher usage of SUVs vs. cars increases carbon emissions from vehicles.,s318
1.0,This article is about climate change proposal,s319
1.0,Weight training is very important to our life,s320
1.0,I am a professional Lawmaker,s321
1.0,"It is about the link between environmentalists and, I assume, how they view nuclear power, which could potentially help reduce everyone's' carbon footprint.",s322
0.0,I does not at all. I never go to McDonalds or been to Korea.,s324
0.0,"I am really worried about the Wildfire. The global warming is the main theme of this article they warning the people by point out the Kincade fire burned more than 10,000 acres in California",s326
1.0,cheap reusable cleaning products,s327
0.0,I know people that are overweight and are at risk of cancer,s328
1.0,This article matters to some people I know because they have young children or grandchildren and this would be helpful on gaining knowledge on healthy eating.,s329
0.0,I never thought a Vegan would get gout but this article piques my curiosity.,s330
0.0,Carbon emission is the main cause for the global warming.,s331
1.0,that there is a suggestion as regards to benefits of gut bacterium on people with metabolic disorders,s335
0.0,A study uncovers that Americans are building new homes in flood plains at a faster rate than alternative locations. These new homes are at high risk of experiencing flood damage.,s337
0.0,Obesity is attributing to rises in sleep apnea which can have significant health consequences.,s338
1.0,This is quite interesting. Bananas are actually much more natural and effective than the usual sport energy drinks.,s344
1.0,Making healthy changes to your lifestyle can decrease chances of heart attack.,s345
1.0,It's always goof to have moral support to treat eating disorders,s348
0.0,My mom is at a risky age and she eats a lot of meat. She would find the article interesting.,s349
1.0,This article is all about the effect of processed meat,s352
1.0,This article is about bacteria supplement.,s353
0.0,It influenced in my life,s358
0.0,Sugar is a unhealthy content for the body. It causes some serious problems for humans. But moreover human are likely to use sugar as their favorite one. They couldn't know the seriousness about the sugar products.,s360
1.0,"A cancer researcher is crowdsourcing the startup of a new company that seeks to help him individually treat his own multiple myeloma, a form of cancer.",s361
1.0,"It would interest people because of it's legal aspect.
It's about a legal confrontation between Exxon and state attorneys general in New York and Massachusetts.",s363
1.0,People I know are health oriented and they want to know about GMOs.,s364
1.0,The article is about guidelines on children nutrition.,s368
1.0,"Since I ride my bicycle often, it often helps me stay ""younger"" and healthier than my peers who don't get such exercise.",s371
0.0,"I have used disposable products and although they are easier to just dispose of, they can be ineffective at times and they do cost more which isn't saving people money.",s372
1.0,Skipping a meal early in the day before a workout could be key to losing weight.,s373
1.0,It's about how the two US Political Parties view and try to fix the Climate Change Problem our Earth is facing. It also contains the Voters Voice by quantifying the Votes for each Candidate/Party. The Political Party's Climate Ideology receiving the majority of the Popular Vote would be how the US Citizens really feel about Climate Change,s375
0.0,"I know people who live in Florida, the first state in my country probably to experience the worst of rising sea levels.",s380
1.0,student around the world skipped school friday in protest of climate change,s386
0.0,solar power is increasing in popularity but still isnt enough yet,s387
1.0,strong correlation between endurance and living a long life,s390
1.0,very interesting and i was very volunteer,s394
1.0,because of it's importance and usefulness of this article and it's useful for everyone's knowledge,s395
0.0,Cycling sports are your bones risk.,s396
1.0,A new viewpoint on fast food from someone who didn't grow up with it.,s399
1.0,About conference on technology.,s400
1.0,Fitness on the middle age help to keep fit and free from serious diseases like dementia,s401
1.0,So we should exercise to be healthy,s402
1.0,common household items lead to air pollution,s403
1.0,The article is about the combination of HIIT training and a heart monitor and how to get the most benefits from both.,s406
1.0,breakfast is increase our energy in morning level  we skip our breakfast so create some  problems in our body  and choice to eat or omit a meal before an early workout,s411
0.0,the air pollution very danger .the car produce black smoke pollut in the air,s412
1.0,"I am getting into saving energy habits and so the principle of what is ""murkier"" about this is something I want to read about.",s414
0.0,"another effect of humans, we are killing this planet",s415
1.0,It is about people skipping shcool for climate change.,s418
0.0,people who were at the center of record heatwaves,s419
1.0,"cherry and pomegranate juice, vitamin  C and E and black tea will reduce the exercising muscle aches every trainer and every bodybuilder will choose this to reduce their muscles pain.",s420
0.0,"It seems that a lot of the dietary products that claim to lose weight can actually be bad for you and even kill you you, even if you're under 25.",s421
1.0,Spending less time working out for great results would be fantastic.,s422
0.0,Exxon is suing because they are being investigated for destroying the earth.,s423
1.0,An environmental measure protecting wilderness has been passed by the Senate.,s425
1.0,This article is important to me because I want to be as active and healthy as I can be when I get older.  This article gives me confidence and motivation.,s432
0.0,my home also flood prone in my areas.,s434
1.0,"This is one of the consecuences of our consumption rates, it is relevant for everyone to know about it so they can adjust their life habits towards a more eco friendly lifestyle.",s435
1.0,They supported by national Climate Assessment.,s436
1.0,cleanliness not only our body entire our environment,s437
0.0,The hike in the death toll of overweight U.S. adults caused by Sleep Apnea.,s439
0.0,coal were used to produce the power of the steam engines and produce the electricity. now a day it were produce air pollution.so we have to avoid the coal . it were avoided  to the country.,s442
0.0,This article does not really matters to me,s444
0.0,warning due to climate change,s445
1.0,I am looking for ways to reduce my use of plastic items.,s446
1.0,"The article suggests that Americans staying home more is good for the environment. Americans who stay home burn less fossil fuel. It also suggests that there may be more to the story, that is not presented in the headline.",s448
0.0,Nowadays global warming is a major problem in the world. I have concerns about global warming.,s449
1.0,A cancer research who has cancer himself has started a crowdsourcing solution.,s450
1.0,This is very knowledgeable information,s453
0.0,Blocking investigations of any kind is hiding evidence.,s454
1.0,Because when i was a young boy i went McDonald's with my grandmother.,s456
1.0,This matters to me because the article would outline ways that I can contribute to making the world a better and cleaner place to live in.,s457
0.0,This article is about the effect climate change could have on the US economy.,s460
1.0,"This could be a huge step in cancer care those who have it, and cancer prevention for all of us.",s462
1.0,this would raise awareness about nuclear energy to people,s463
1.0,Dancing can help your brain as you age.,s466
1.0,Carbon taxes is important tool against fight for climate change.,s467
1.0,it affects all of us as we all all live in this world,s470
0.0,This is an article about the ineffectiveness of supplements to ease muscle soreness after working out.,s471
1.0,opening up the camp will surely help a lot,s473
1.0,the tash zone between hawaii and california is growing,s475
0.0,This article is about proposal against protection of Endangered species,s478
1.0,my loved ones are at risk and need to know what they can do to avoid strokes,s479
0.0,Global warming is going to make it harder for me to live,s481
1.0,"If I ever decide to do intense workouts, especially weightlifting, I don't want to waste money on products that won't help ease any muscle pain I might encounter post-exercising.  I only do some pushups daily for now.",s482
0.0,Climate change is quickly moving beyond our control. We seriously need to put a stop to this or we'll have nothing but annual articles just like this one until we all die.,s483
0.0,Climate target has not been strengthened.,s485
0.0,Article is about disaster,s487
1.0,because it talks about not wasting food and hat was what my mom always teach me,s488
0.0,Climate change is a problem that is concerning to me,s490
0.0,"Global warming is causing more dangerous rainstorms and even if we are able to evacuate flood zones quickly, it's still a huge problem.",s492
0.0,"Forest fires in California, is poisoning our air and kids who have bad breathing",s493
0.0,This article is big issue for society,s494
1.0,"The article suggests that more than exercise is needed for positive weightloss. In some mice, exercise caused them to move less later.",s495
0.0,climate change is a big threat to our lives,s496
1.0,This is an article about climate change and the ocean garbage patch in the Pacific.,s497
0.0,A lot of the science around CBD isn't really established yet; you can buy it almost anywhere but a lot of the claims are misleading or unproven.,s498
0.0,floods are very dangerous it is natural one we make a precaution safety before the flood arrives,s499
1.0,About a skier that contributes towards the environment.,s502
0.0,"This article matters to me because I am a female that has not been previously watching my intake of bad foods throughout most of my life. So, this information concerns me and I feel directly relates to me.",s504
0.0,This article creates awareness about the failing system of recycling initiatives in first world countries.,s505
1.0,I would want people to make sure they understand the threat of certain chemicals found in everyday things like deodorant so they can make better informed decisions as consumers.,s506
1.0,i think eating with family is important and significant,s507
1.0,I've been trying to cut back on processed foods in general,s512
1.0,This describes how aging impacts the speed that people move,s513
1.0,"Protecting our environment is important to us all, very interesting read.",s514
1.0,Having extra training makes ones standout among others.,s515
0.0,article about  impact of climate change through with disasters,s516
1.0,The Article is about children's food offers,s517
1.0,Climate change matters to me because it allows us to preserve the current state of the world longer. It allows us to cherish and appreciate our history by having these ancient places around.,s520
1.0,"Babies who eat solid food at 3 months sleep better, longer.",s522
0.0,Because I have lost someone in my family to diabetes.,s526
1.0,I'm midlife and need to know what helps in fighting this disease,s527
0.0,Fake news written by climate change deniers could cause more species lost.,s529
0.0,BECAUSE OF CLIMATE RISK WATER WILL BE MORE SCARE IN FUTUREEEEEEEEEEEEEEEEEEEEEEEE,s530
1.0,We all buy soda's with straws on most work days.,s531
1.0,Fish is so to have benefits help the brain. with omega-3 and other ingredients,s532
1.0,an article about getting protein from plants instead of animals could lower cardiovascular issues,s533
1.0,This article matters to me because I care about the environment and combatting climate change.,s535
0.0,Tides are becoming more and more of an issue for Florida wildlife.,s537
0.0,Certain political groups have proposed removing or weakening protections mandated in the Endangered Species Act.,s538
1.0,This matters to people i know because i know many people who use supplements like this.,s540
1.0,If you want to avoid kidney stones then you should drink more  water.,s541
1.0,"Saving energy effects climate change, which is something I'm all for.",s543
1.0,I know a lot about G.M.O.s so it matters personally for me.,s544
0.0,Climate change is real and could cause some disasters all at the same time.,s545
0.0,I know some people that are very overweight but don't care.,s546
0.0,This article is about how sugary drinks can lead to a shorter life span.,s547
1.0,Peoples are must knows the BOKS program.,s548
0.0,really i dont know much about the theme,s551
1.0,This matters especially to people who are single. Cooking for one it is hard not to waste food.,s552
0.0,Fires scattered across the world are endangering the world’s climate.,s553
1.0,"It is that some food items like cherry,pomegranate juice will help to alleviate post-exercise muscle aches.",s554
1.0,i used to go walk everyday,s555
1.0,People want to know how to live healthier lives.,s558
0.0,because it is very important,s559
0.0,Prospective homeowners are idiots who build home where they shouldn't.,s561
1.0,"Here's some good alternatives to using plastics in some daily ways.  Someone has put together a kit to get rid of plastic straws, tableware and containers.",s563
1.0,Nuclear power good for the environment and reducing your own carbon footprint.,s567
1.0,Its about protection of Endangered Species and laws should be made stricter and stricter.,s568
0.0,This article is about doomsayers saying the environment and economy is collapsing.,s570
1.0,"While I'm not the biggest fan of utilizing coal based energy myself, I have a few family members that work in the fossil fuel industry and they'd be quite excited by this news.",s571
1.0,A small pilot study covers information of how people with metabolic disorders could potentially benefit from supplements of a common gut bacterium. This could potentially impact people who are obese.,s572
1.0,This article would appeal to people I know because they are older population like me.,s574
1.0,Many people I know are concerned about pollution in the environment by plastics.,s575
1.0,Climate lawsuits are growing and expanding within the country.,s576
0.0,SUV sales are up globally and that is bad news for the climate,s577
0.0,"Government aid is not on par with the amount and severity of storms that have been caused by climate change. This has left many Americans more vulnerable to hurricanes, floods, etc.",s578
0.0,Cancer is the big threat in this century.,s581
0.0,Florida's wildlife is currently being killed by the longest toxic algal bloom in a decade,s582
1.0,"as a man it`s a well known one, i used to walk different speed with others.",s583
0.0,Climate change could end human life as we know it if something isn't done.,s584
1.0,It can be nice to see the giants fall.,s587
0.0,This article is relevant to me because I am worried about aging effects..,s588
0.0,I think people are generally not very attentive while driving and more people are driving larger vehicles.,s589
0.0,Is it based on science or agenda driven interpretations of scientific findings?,s592
1.0,"Age is not a matter to succeeded. Success may come at any age, if work hard.",s593
1.0,The article matters because many people who is following will get the information and can be useful to them.,s594
0.0,It concerns me in terms of climate change and effect of a selfish Billionaire's act on my health.,s595
1.0,This article matters to people i know simply because the thought of lab-grown meat is interesting,s598
1.0,dancing is one of the exercise for whole body and fit for body,s599
1.0,I want to learn more about climate change,s600
1.0,It is about the health effects of vitamin D during pregnancy.,s602
1.0,This article about compare the dog and humans.,s606
1.0,olympic athlete wants to conserve snow of the world,s608
1.0,An article about flavonoid-rich foods.,s610
0.0,The construction of homes in flood-prone areas is much faster than in other areas.,s613
1.0,relationship between dog and human,s615
0.0,This article is say the global warming an era of wilder.,s616
0.0,"A lot of my friends have a lot of misconceptions about diet, exercise, and weight loss.",s618
1.0,Because health is very important to living here. so I have involved with this article.,s619
1.0,This shows another reason why to take good care of yourself to try and avoid heart and Parkinson's trouble.,s620
1.0,I enjoy reading about health and fitness trends and science.,s621
1.0,cause the article is quite educative,s622
1.0,This article talking about the important of the bananas,s623
1.0,"There were two big climate meetings. Also, you can lower holiday food waste.",s624
1.0,The article is about the plastics and its effect on earth.,s626
1.0,I live in the Bay Area,s627
1.0,This article is about plastic recycling,s628
1.0,Healthy eating is very important for a healthy life.,s629
0.0,this article is about risk of skin infection,s630
0.0,"I'm told so often that climate change isn't even reflected in weather, but then we see stories like this, so I don't know what we're supposed to believe.",s631
1.0,Enviromental problems are important to everyone.,s634
0.0,I live on long island near the water and it makes me nervous to think this could happen to me.,s635
1.0,Greta has inspired me to rally for more to be done by our government to combat climate change.,s636
0.0,Plastics a product that  bring  the  world to end.,s638
1.0,People I know have certain conditions mentioned which put them at risk of Parkinson's disease.,s639
0.0,I personally have the face many Difficult situation due to the climate change....,s640
1.0,How to get rid of children's picky eating habits and get them to eat healthier,s001
0.0,it's really sad that our earth consumes this much plastics because of human,s002
1.0,Breakdown of a bill by senator Schumer about climate change.,s003
0.0,The Federal government is dropping the ball on caring about its' citizens by not spending this money on aid and prevention.,s004
0.0,Endangered animal species act might be overhauled. Because of the job market as a factor. I wonder if it's for the good or the bad.,s005
1.0,All the ways you can prevent clogging your arteries.,s008
0.0,I own a home and live near wooded area that is prone to wildfires,s009
1.0,they can have their children enroll in this program to improve their health,s010
0.0,Sleep apnea can cause obesity.,s012
1.0,There is a new book that helps people make healthier eating choices for their kids.,s014
1.0,This is about what you can consume to reduce or prevent kidney stones naturally.,s015
0.0,The causes of Parkinson's disease are likely to result into heart risks.,s017
0.0,"The loss of hearing may be linked to the increased risk of driving, work, leisure and sports injuries.",s018
0.0,This article discusses if the parents contribute to their child's obesity.,s019
0.0,Climate change may have negative impacts on historical sites in the Mediterranean.,s020
0.0,This article matters to me because the decisions made with carbon emissions around the world could affect my health.,s021
1.0,This talks about reducing waste by buying fewer things locally.,s024
1.0,"The article is discussing how Artificial Intelligence (AI) can be used to map the history of breast cancer patients in order to potentially predict, prevent and treat the disease.",s025
0.0,it related to some of my friends as he has obesity,s028
1.0,"This article is about children's  exercise that consist a hour of running , calisthenics and rousing group games that  can feel children feel happier and more energetic .",s030
1.0,Disposable cleaning products.,s031
1.0,This article is important to me because it explains the safety measures that must be taken in case of floods and other catastrophes due to climate change.,s032
1.0,Benefits of sugary drink ban,s036
1.0,about the management of new technologies in internet,s037
1.0,People who want or don't want energy independence will have something to argue about.,s038
1.0,It is about getting proteins from  plants,s040
0.0,This article is trying to inform people about the geographical area of people who are at higher risk of getting cancer due to overweight or obesity.,s041
1.0,"because The dancers now had denser white matter in their fornix, a part of the brain involved with processing speed and memory.",s042
0.0,Global warming is a myth.  Thought it was climate change now.  Or did they finally move on to climate crisis?,s043
1.0,because people care about polar bears,s045
